INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,LMP_TYPE,MW,GROUP
2022-06-30T07:00:00-00:00,2022-06-30T08:00:00-00:00,2022-06-30,1,2C559EQ2_7_N001,LMP,281.43652,1
2022-06-30T08:00:00-00:00,2022-06-30T09:00:00-00:00,2022-06-30,2,2C559EQ2_7_N001,LMP,67.95578,1
2022-06-30T09:00:00-00:00,2022-06-30T10:00:00-00:00,2022-06-30,3,2C559EQ2_7_N001,LMP,65.20961,1
2022-06-30T10:00:00-00:00,2022-06-30T11:00:00-00:00,2022-06-30,4,2C559EQ2_7_N001,LMP,63.14039,1
2022-06-30T11:00:00-00:00,2022-06-30T12:00:00-00:00,2022-06-30,5,2C559EQ2_7_N001,LMP,63.49944,1
2022-06-30T12:00:00-00:00,2022-06-30T13:00:00-00:00,2022-06-30,6,2C559EQ2_7_N001,LMP,73.8214,1
2022-06-30T13:00:00-00:00,2022-06-30T14:00:00-00:00,2022-06-30,7,2C559EQ2_7_N001,LMP,65.12022,1
2022-06-30T14:00:00-00:00,2022-06-30T15:00:00-00:00,2022-06-30,8,2C559EQ2_7_N001,LMP,53.72326,1
2022-06-30T15:00:00-00:00,2022-06-30T16:00:00-00:00,2022-06-30,9,2C559EQ2_7_N001,LMP,38.16035,1
2022-06-30T16:00:00-00:00,2022-06-30T17:00:00-00:00,2022-06-30,10,2C559EQ2_7_N001,LMP,33.94415,1
2022-06-30T17:00:00-00:00,2022-06-30T18:00:00-00:00,2022-06-30,11,2C559EQ2_7_N001,LMP,36.39327,1
2022-06-30T18:00:00-00:00,2022-06-30T19:00:00-00:00,2022-06-30,12,2C559EQ2_7_N001,LMP,44.82812,1
2022-06-30T19:00:00-00:00,2022-06-30T20:00:00-00:00,2022-06-30,13,2C559EQ2_7_N001,LMP,49.17865,1
2022-06-30T20:00:00-00:00,2022-06-30T21:00:00-00:00,2022-06-30,14,2C559EQ2_7_N001,LMP,50.01501,1
2022-06-30T21:00:00-00:00,2022-06-30T22:00:00-00:00,2022-06-30,15,2C559EQ2_7_N001,LMP,52.11616,1
2022-06-30T22:00:00-00:00,2022-06-30T23:00:00-00:00,2022-06-30,16,2C559EQ2_7_N001,LMP,54.25905,1
2022-06-30T23:00:00-00:00,2022-07-01T00:00:00-00:00,2022-06-30,17,2C559EQ2_7_N001,LMP,54.64018,1
2022-07-01T00:00:00-00:00,2022-07-01T01:00:00-00:00,2022-06-30,18,2C559EQ2_7_N001,LMP,64.92563,1
2022-07-01T01:00:00-00:00,2022-07-01T02:00:00-00:00,2022-06-30,19,2C559EQ2_7_N001,LMP,79.91272,1
2022-07-01T02:00:00-00:00,2022-07-01T03:00:00-00:00,2022-06-30,20,2C559EQ2_7_N001,LMP,101.10199,1
2022-07-01T03:00:00-00:00,2022-07-01T04:00:00-00:00,2022-06-30,21,2C559EQ2_7_N001,LMP,96.93074,1
2022-07-01T04:00:00-00:00,2022-07-01T05:00:00-00:00,2022-06-30,22,2C559EQ2_7_N001,LMP,86.77261,1
2022-07-01T05:00:00-00:00,2022-07-01T06:00:00-00:00,2022-06-30,23,2C559EQ2_7_N001,LMP,71.77577,1
2022-07-01T06:00:00-00:00,2022-07-01T07:00:00-00:00,2022-06-30,24,2C559EQ2_7_N001,LMP,70.62432,1
2022-07-01T07:00:00-00:00,2022-07-01T08:00:00-00:00,2022-07-01,1,2C559EQ2_7_N001,LMP,107.24779,6
2022-07-01T08:00:00-00:00,2022-07-01T09:00:00-00:00,2022-07-01,2,2C559EQ2_7_N001,LMP,66.78916,6
2022-07-01T09:00:00-00:00,2022-07-01T10:00:00-00:00,2022-07-01,3,2C559EQ2_7_N001,LMP,65.80294,6
2022-07-01T10:00:00-00:00,2022-07-01T11:00:00-00:00,2022-07-01,4,2C559EQ2_7_N001,LMP,62.35856,6
2022-07-01T11:00:00-00:00,2022-07-01T12:00:00-00:00,2022-07-01,5,2C559EQ2_7_N001,LMP,63.67194,6
2022-07-01T12:00:00-00:00,2022-07-01T13:00:00-00:00,2022-07-01,6,2C559EQ2_7_N001,LMP,70.4545,6
2022-07-01T13:00:00-00:00,2022-07-01T14:00:00-00:00,2022-07-01,7,2C559EQ2_7_N001,LMP,63.15334,6
2022-07-01T14:00:00-00:00,2022-07-01T15:00:00-00:00,2022-07-01,8,2C559EQ2_7_N001,LMP,48.14732,6
2022-07-01T15:00:00-00:00,2022-07-01T16:00:00-00:00,2022-07-01,9,2C559EQ2_7_N001,LMP,41.08933,6
2022-07-01T16:00:00-00:00,2022-07-01T17:00:00-00:00,2022-07-01,10,2C559EQ2_7_N001,LMP,36.58286,6
2022-07-01T17:00:00-00:00,2022-07-01T18:00:00-00:00,2022-07-01,11,2C559EQ2_7_N001,LMP,38.39874,6
2022-07-01T18:00:00-00:00,2022-07-01T19:00:00-00:00,2022-07-01,12,2C559EQ2_7_N001,LMP,37.87912,6
2022-07-01T19:00:00-00:00,2022-07-01T20:00:00-00:00,2022-07-01,13,2C559EQ2_7_N001,LMP,41.51344,6
2022-07-01T20:00:00-00:00,2022-07-01T21:00:00-00:00,2022-07-01,14,2C559EQ2_7_N001,LMP,43.91082,6
2022-07-01T21:00:00-00:00,2022-07-01T22:00:00-00:00,2022-07-01,15,2C559EQ2_7_N001,LMP,46.18265,6
2022-07-01T22:00:00-00:00,2022-07-01T23:00:00-00:00,2022-07-01,16,2C559EQ2_7_N001,LMP,46.07131,6
2022-07-01T23:00:00-00:00,2022-07-02T00:00:00-00:00,2022-07-01,17,2C559EQ2_7_N001,LMP,50.23535,6
2022-07-02T00:00:00-00:00,2022-07-02T01:00:00-00:00,2022-07-01,18,2C559EQ2_7_N001,LMP,58.91923,6
2022-07-02T01:00:00-00:00,2022-07-02T02:00:00-00:00,2022-07-01,19,2C559EQ2_7_N001,LMP,76.25695,6
2022-07-02T02:00:00-00:00,2022-07-02T03:00:00-00:00,2022-07-01,20,2C559EQ2_7_N001,LMP,197.88206,6
2022-07-02T03:00:00-00:00,2022-07-02T04:00:00-00:00,2022-07-01,21,2C559EQ2_7_N001,LMP,95.13947,6
2022-07-02T04:00:00-00:00,2022-07-02T05:00:00-00:00,2022-07-01,22,2C559EQ2_7_N001,LMP,197.9982,6
2022-07-02T05:00:00-00:00,2022-07-02T06:00:00-00:00,2022-07-01,23,2C559EQ2_7_N001,LMP,240.02634,6
2022-07-02T06:00:00-00:00,2022-07-02T07:00:00-00:00,2022-07-01,24,2C559EQ2_7_N001,LMP,65.04215,6
2022-07-02T07:00:00-00:00,2022-07-02T08:00:00-00:00,2022-07-02,1,2C559EQ2_7_N001,LMP,62.63137,11
2022-07-02T08:00:00-00:00,2022-07-02T09:00:00-00:00,2022-07-02,2,2C559EQ2_7_N001,LMP,59.42891,11
2022-07-02T09:00:00-00:00,2022-07-02T10:00:00-00:00,2022-07-02,3,2C559EQ2_7_N001,LMP,57.88291,11
2022-07-02T10:00:00-00:00,2022-07-02T11:00:00-00:00,2022-07-02,4,2C559EQ2_7_N001,LMP,54.8233,11
2022-07-02T11:00:00-00:00,2022-07-02T12:00:00-00:00,2022-07-02,5,2C559EQ2_7_N001,LMP,55.12615,11
2022-07-02T12:00:00-00:00,2022-07-02T13:00:00-00:00,2022-07-02,6,2C559EQ2_7_N001,LMP,56.61749,11
2022-07-02T13:00:00-00:00,2022-07-02T14:00:00-00:00,2022-07-02,7,2C559EQ2_7_N001,LMP,56.52389,11
2022-07-02T14:00:00-00:00,2022-07-02T15:00:00-00:00,2022-07-02,8,2C559EQ2_7_N001,LMP,37.81,11
2022-07-02T15:00:00-00:00,2022-07-02T16:00:00-00:00,2022-07-02,9,2C559EQ2_7_N001,LMP,21.89648,11
2022-07-02T16:00:00-00:00,2022-07-02T17:00:00-00:00,2022-07-02,10,2C559EQ2_7_N001,LMP,20.35,11
2022-07-02T17:00:00-00:00,2022-07-02T18:00:00-00:00,2022-07-02,11,2C559EQ2_7_N001,LMP,16.80813,11
2022-07-02T18:00:00-00:00,2022-07-02T19:00:00-00:00,2022-07-02,12,2C559EQ2_7_N001,LMP,16.04443,11
2022-07-02T19:00:00-00:00,2022-07-02T20:00:00-00:00,2022-07-02,13,2C559EQ2_7_N001,LMP,18.60396,11
2022-07-02T20:00:00-00:00,2022-07-02T21:00:00-00:00,2022-07-02,14,2C559EQ2_7_N001,LMP,24.04178,11
