INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,LMP_TYPE,MW,GROUP
2022-08-29T07:00:00-00:00,2022-08-29T08:00:00-00:00,2022-08-29,1,2C559EQ2_7_N001,LMP,98.35989,1
2022-08-29T08:00:00-00:00,2022-08-29T09:00:00-00:00,2022-08-29,2,2C559EQ2_7_N001,LMP,89.51412,1
2022-08-29T09:00:00-00:00,2022-08-29T10:00:00-00:00,2022-08-29,3,2C559EQ2_7_N001,LMP,86.95351,1
2022-08-29T10:00:00-00:00,2022-08-29T11:00:00-00:00,2022-08-29,4,2C559EQ2_7_N001,LMP,86.33905,1
2022-08-29T11:00:00-00:00,2022-08-29T12:00:00-00:00,2022-08-29,5,2C559EQ2_7_N001,LMP,87.04142,1
2022-08-29T12:00:00-00:00,2022-08-29T13:00:00-00:00,2022-08-29,6,2C559EQ2_7_N001,LMP,93.34508,1
2022-08-29T13:00:00-00:00,2022-08-29T14:00:00-00:00,2022-08-29,7,2C559EQ2_7_N001,LMP,110.31813,1
2022-08-29T14:00:00-00:00,2022-08-29T15:00:00-00:00,2022-08-29,8,2C559EQ2_7_N001,LMP,84.67647,1
2022-08-29T15:00:00-00:00,2022-08-29T16:00:00-00:00,2022-08-29,9,2C559EQ2_7_N001,LMP,69.13218,1
2022-08-29T16:00:00-00:00,2022-08-29T17:00:00-00:00,2022-08-29,10,2C559EQ2_7_N001,LMP,63.69461,1
2022-08-29T17:00:00-00:00,2022-08-29T18:00:00-00:00,2022-08-29,11,2C559EQ2_7_N001,LMP,62.45807,1
2022-08-29T18:00:00-00:00,2022-08-29T19:00:00-00:00,2022-08-29,12,2C559EQ2_7_N001,LMP,65.88437,1
2022-08-29T19:00:00-00:00,2022-08-29T20:00:00-00:00,2022-08-29,13,2C559EQ2_7_N001,LMP,70.44322,1
2022-08-29T20:00:00-00:00,2022-08-29T21:00:00-00:00,2022-08-29,14,2C559EQ2_7_N001,LMP,75.62525,1
2022-08-29T21:00:00-00:00,2022-08-29T22:00:00-00:00,2022-08-29,15,2C559EQ2_7_N001,LMP,83.79698,1
2022-08-29T22:00:00-00:00,2022-08-29T23:00:00-00:00,2022-08-29,16,2C559EQ2_7_N001,LMP,90.44365,1
2022-08-29T23:00:00-00:00,2022-08-30T00:00:00-00:00,2022-08-29,17,2C559EQ2_7_N001,LMP,96.54335,1
2022-08-30T00:00:00-00:00,2022-08-30T01:00:00-00:00,2022-08-29,18,2C559EQ2_7_N001,LMP,114.3457,1
2022-08-30T01:00:00-00:00,2022-08-30T02:00:00-00:00,2022-08-29,19,2C559EQ2_7_N001,LMP,156.31227,1
2022-08-30T02:00:00-00:00,2022-08-30T03:00:00-00:00,2022-08-29,20,2C559EQ2_7_N001,LMP,171.83925,1
2022-08-30T03:00:00-00:00,2022-08-30T04:00:00-00:00,2022-08-29,21,2C559EQ2_7_N001,LMP,133.89693,1
2022-08-30T04:00:00-00:00,2022-08-30T05:00:00-00:00,2022-08-29,22,2C559EQ2_7_N001,LMP,121.02302,1
2022-08-30T05:00:00-00:00,2022-08-30T06:00:00-00:00,2022-08-29,23,2C559EQ2_7_N001,LMP,100.26373,1
2022-08-30T06:00:00-00:00,2022-08-30T07:00:00-00:00,2022-08-29,24,2C559EQ2_7_N001,LMP,101.19169,1
2022-08-30T07:00:00-00:00,2022-08-30T08:00:00-00:00,2022-08-30,1,2C559EQ2_7_N001,LMP,111.35344,6
2022-08-30T08:00:00-00:00,2022-08-30T09:00:00-00:00,2022-08-30,2,2C559EQ2_7_N001,LMP,96.44763,6
2022-08-30T09:00:00-00:00,2022-08-30T10:00:00-00:00,2022-08-30,3,2C559EQ2_7_N001,LMP,94.3554,6
2022-08-30T10:00:00-00:00,2022-08-30T11:00:00-00:00,2022-08-30,4,2C559EQ2_7_N001,LMP,94.25062,6
2022-08-30T11:00:00-00:00,2022-08-30T12:00:00-00:00,2022-08-30,5,2C559EQ2_7_N001,LMP,94.71102,6
2022-08-30T12:00:00-00:00,2022-08-30T13:00:00-00:00,2022-08-30,6,2C559EQ2_7_N001,LMP,104.66811,6
2022-08-30T13:00:00-00:00,2022-08-30T14:00:00-00:00,2022-08-30,7,2C559EQ2_7_N001,LMP,128.55379,6
2022-08-30T14:00:00-00:00,2022-08-30T15:00:00-00:00,2022-08-30,8,2C559EQ2_7_N001,LMP,100.49715,6
2022-08-30T15:00:00-00:00,2022-08-30T16:00:00-00:00,2022-08-30,9,2C559EQ2_7_N001,LMP,79.50739,6
2022-08-30T16:00:00-00:00,2022-08-30T17:00:00-00:00,2022-08-30,10,2C559EQ2_7_N001,LMP,75.48476,6
2022-08-30T17:00:00-00:00,2022-08-30T18:00:00-00:00,2022-08-30,11,2C559EQ2_7_N001,LMP,76.10436,6
2022-08-30T18:00:00-00:00,2022-08-30T19:00:00-00:00,2022-08-30,12,2C559EQ2_7_N001,LMP,78.23072,6
2022-08-30T19:00:00-00:00,2022-08-30T20:00:00-00:00,2022-08-30,13,2C559EQ2_7_N001,LMP,90.9269,6
2022-08-30T20:00:00-00:00,2022-08-30T21:00:00-00:00,2022-08-30,14,2C559EQ2_7_N001,LMP,103.98248,6
2022-08-30T21:00:00-00:00,2022-08-30T22:00:00-00:00,2022-08-30,15,2C559EQ2_7_N001,LMP,113.20984,6
2022-08-30T22:00:00-00:00,2022-08-30T23:00:00-00:00,2022-08-30,16,2C559EQ2_7_N001,LMP,121.13103,6
2022-08-30T23:00:00-00:00,2022-08-31T00:00:00-00:00,2022-08-30,17,2C559EQ2_7_N001,LMP,135.46764,6
2022-08-31T00:00:00-00:00,2022-08-31T01:00:00-00:00,2022-08-30,18,2C559EQ2_7_N001,LMP,142.70001,6
2022-08-31T01:00:00-00:00,2022-08-31T02:00:00-00:00,2022-08-30,19,2C559EQ2_7_N001,LMP,224.91599,6
2022-08-31T02:00:00-00:00,2022-08-31T03:00:00-00:00,2022-08-30,20,2C559EQ2_7_N001,LMP,252.33711,6
2022-08-31T03:00:00-00:00,2022-08-31T04:00:00-00:00,2022-08-30,21,2C559EQ2_7_N001,LMP,185.92851,6
2022-08-31T04:00:00-00:00,2022-08-31T05:00:00-00:00,2022-08-30,22,2C559EQ2_7_N001,LMP,192.27629,6
2022-08-31T05:00:00-00:00,2022-08-31T06:00:00-00:00,2022-08-30,23,2C559EQ2_7_N001,LMP,123.65,6
2022-08-31T06:00:00-00:00,2022-08-31T07:00:00-00:00,2022-08-30,24,2C559EQ2_7_N001,LMP,114.0,6
2022-08-31T07:00:00-00:00,2022-08-31T08:00:00-00:00,2022-08-31,1,2C559EQ2_7_N001,LMP,117.59426,11
2022-08-31T08:00:00-00:00,2022-08-31T09:00:00-00:00,2022-08-31,2,2C559EQ2_7_N001,LMP,106.05636,11
2022-08-31T09:00:00-00:00,2022-08-31T10:00:00-00:00,2022-08-31,3,2C559EQ2_7_N001,LMP,106.09784,11
2022-08-31T10:00:00-00:00,2022-08-31T11:00:00-00:00,2022-08-31,4,2C559EQ2_7_N001,LMP,101.56293,11
2022-08-31T11:00:00-00:00,2022-08-31T12:00:00-00:00,2022-08-31,5,2C559EQ2_7_N001,LMP,102.0101,11
