INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,MW,GROUP
2022-03-02T08:00:00-00:00,2022-03-02T09:00:00-00:00,2022-03-02,1,BELMONT_1_N001,46.69726,1
2022-03-02T09:00:00-00:00,2022-03-02T10:00:00-00:00,2022-03-02,2,BELMONT_1_N001,45.77301,1
2022-03-02T10:00:00-00:00,2022-03-02T11:00:00-00:00,2022-03-02,3,BELMONT_1_N001,45.71526,1
2022-03-02T11:00:00-00:00,2022-03-02T12:00:00-00:00,2022-03-02,4,BELMONT_1_N001,45.54757,1
2022-03-02T12:00:00-00:00,2022-03-02T13:00:00-00:00,2022-03-02,5,BELMONT_1_N001,48.36155,1
2022-03-02T13:00:00-00:00,2022-03-02T14:00:00-00:00,2022-03-02,6,BELMONT_1_N001,56.6169,1
2022-03-02T14:00:00-00:00,2022-03-02T15:00:00-00:00,2022-03-02,7,BELMONT_1_N001,71.05604,1
2022-03-02T15:00:00-00:00,2022-03-02T16:00:00-00:00,2022-03-02,8,BELMONT_1_N001,53.8722,1
2022-03-02T16:00:00-00:00,2022-03-02T17:00:00-00:00,2022-03-02,9,BELMONT_1_N001,42.13849,1
2022-03-02T17:00:00-00:00,2022-03-02T18:00:00-00:00,2022-03-02,10,BELMONT_1_N001,35.02719,1
2022-03-02T18:00:00-00:00,2022-03-02T19:00:00-00:00,2022-03-02,11,BELMONT_1_N001,32.01059,1
2022-03-02T19:00:00-00:00,2022-03-02T20:00:00-00:00,2022-03-02,12,BELMONT_1_N001,26.99661,1
2022-03-02T20:00:00-00:00,2022-03-02T21:00:00-00:00,2022-03-02,13,BELMONT_1_N001,28.56886,1
2022-03-02T21:00:00-00:00,2022-03-02T22:00:00-00:00,2022-03-02,14,BELMONT_1_N001,25.81469,1
2022-03-02T22:00:00-00:00,2022-03-02T23:00:00-00:00,2022-03-02,15,BELMONT_1_N001,29.04557,1
2022-03-02T23:00:00-00:00,2022-03-03T00:00:00-00:00,2022-03-02,16,BELMONT_1_N001,46.92446,1
2022-03-03T00:00:00-00:00,2022-03-03T01:00:00-00:00,2022-03-02,17,BELMONT_1_N001,54.13019,1
2022-03-03T01:00:00-00:00,2022-03-03T02:00:00-00:00,2022-03-02,18,BELMONT_1_N001,78.78735,1
2022-03-03T02:00:00-00:00,2022-03-03T03:00:00-00:00,2022-03-02,19,BELMONT_1_N001,93.1846,1
2022-03-03T03:00:00-00:00,2022-03-03T04:00:00-00:00,2022-03-02,20,BELMONT_1_N001,72.32672,1
2022-03-03T04:00:00-00:00,2022-03-03T05:00:00-00:00,2022-03-02,21,BELMONT_1_N001,65.35244,1
2022-03-03T05:00:00-00:00,2022-03-03T06:00:00-00:00,2022-03-02,22,BELMONT_1_N001,60.08184,1
2022-03-03T06:00:00-00:00,2022-03-03T07:00:00-00:00,2022-03-02,23,BELMONT_1_N001,52.2146,1
2022-03-03T07:00:00-00:00,2022-03-03T08:00:00-00:00,2022-03-02,24,BELMONT_1_N001,48.62939,1
2022-03-03T08:00:00-00:00,2022-03-03T09:00:00-00:00,2022-03-03,1,BELMONT_1_N001,53.83634,6
2022-03-03T09:00:00-00:00,2022-03-03T10:00:00-00:00,2022-03-03,2,BELMONT_1_N001,48.70688,6
2022-03-03T10:00:00-00:00,2022-03-03T11:00:00-00:00,2022-03-03,3,BELMONT_1_N001,47.30996,6
2022-03-03T11:00:00-00:00,2022-03-03T12:00:00-00:00,2022-03-03,4,BELMONT_1_N001,47.08764,6
2022-03-03T12:00:00-00:00,2022-03-03T13:00:00-00:00,2022-03-03,5,BELMONT_1_N001,50.36706,6
2022-03-03T13:00:00-00:00,2022-03-03T14:00:00-00:00,2022-03-03,6,BELMONT_1_N001,56.72072,6
2022-03-03T14:00:00-00:00,2022-03-03T15:00:00-00:00,2022-03-03,7,BELMONT_1_N001,67.7937,6
2022-03-03T15:00:00-00:00,2022-03-03T16:00:00-00:00,2022-03-03,8,BELMONT_1_N001,54.04127,6
2022-03-03T16:00:00-00:00,2022-03-03T17:00:00-00:00,2022-03-03,9,BELMONT_1_N001,50.56984,6
2022-03-03T17:00:00-00:00,2022-03-03T18:00:00-00:00,2022-03-03,10,BELMONT_1_N001,52.69001,6
2022-03-03T18:00:00-00:00,2022-03-03T19:00:00-00:00,2022-03-03,11,BELMONT_1_N001,46.8019,6
2022-03-03T19:00:00-00:00,2022-03-03T20:00:00-00:00,2022-03-03,12,BELMONT_1_N001,40.03297,6
2022-03-03T20:00:00-00:00,2022-03-03T21:00:00-00:00,2022-03-03,13,BELMONT_1_N001,38.30374,6
2022-03-03T21:00:00-00:00,2022-03-03T22:00:00-00:00,2022-03-03,14,BELMONT_1_N001,40.48206,6
2022-03-03T22:00:00-00:00,2022-03-03T23:00:00-00:00,2022-03-03,15,BELMONT_1_N001,38.10299,6
2022-03-03T23:00:00-00:00,2022-03-04T00:00:00-00:00,2022-03-03,16,BELMONT_1_N001,47.65792,6
2022-03-04T00:00:00-00:00,2022-03-04T01:00:00-00:00,2022-03-03,17,BELMONT_1_N001,57.34422,6
2022-03-04T01:00:00-00:00,2022-03-04T02:00:00-00:00,2022-03-03,18,BELMONT_1_N001,71.00594,6
2022-03-04T02:00:00-00:00,2022-03-04T03:00:00-00:00,2022-03-03,19,BELMONT_1_N001,84.41339,6
2022-03-04T03:00:00-00:00,2022-03-04T04:00:00-00:00,2022-03-03,20,BELMONT_1_N001,69.53817,6
2022-03-04T04:00:00-00:00,2022-03-04T05:00:00-00:00,2022-03-03,21,BELMONT_1_N001,66.32887,6
2022-03-04T05:00:00-00:00,2022-03-04T06:00:00-00:00,2022-03-03,22,BELMONT_1_N001,61.61073,6
2022-03-04T06:00:00-00:00,2022-03-04T07:00:00-00:00,2022-03-03,23,BELMONT_1_N001,55.50726,6
2022-03-04T07:00:00-00:00,2022-03-04T08:00:00-00:00,2022-03-03,24,BELMONT_1_N001,53.74624,6
2022-03-04T08:00:00-00:00,2022-03-04T09:00:00-00:00,2022-03-04,1,BELMONT_1_N001,48.66902,11
2022-03-04T09:00:00-00:00,2022-03-04T10:00:00-00:00,2022-03-04,2,BELMONT_1_N001,45.83507,11
2022-03-04T10:00:00-00:00,2022-03-04T11:00:00-00:00,2022-03-04,3,BELMONT_1_N001,44.40796,11
2022-03-04T11:00:00-00:00,2022-03-04T12:00:00-00:00,2022-03-04,4,BELMONT_1_N001,45.21091,11
2022-03-04T12:00:00-00:00,2022-03-04T13:00:00-00:00,2022-03-04,5,BELMONT_1_N001,47.50631,11
2022-03-04T13:00:00-00:00,2022-03-04T14:00:00-00:00,2022-03-04,6,BELMONT_1_N001,52.69428,11
2022-03-04T14:00:00-00:00,2022-03-04T15:00:00-00:00,2022-03-04,7,BELMONT_1_N001,64.94739,11
2022-03-04T15:00:00-00:00,2022-03-04T16:00:00-00:00,2022-03-04,8,BELMONT_1_N001,60.86774,11
2022-03-04T16:00:00-00:00,2022-03-04T17:00:00-00:00,2022-03-04,9,BELMONT_1_N001,53.73349,11
2022-03-04T17:00:00-00:00,2022-03-04T18:00:00-00:00,2022-03-04,10,BELMONT_1_N001,49.34005,11
2022-03-04T18:00:00-00:00,2022-03-04T19:00:00-00:00,2022-03-04,11,BELMONT_1_N001,62.39404,11
2022-03-04T19:00:00-00:00,2022-03-04T20:00:00-00:00,2022-03-04,12,BELMONT_1_N001,46.19844,11
2022-03-04T20:00:00-00:00,2022-03-04T21:00:00-00:00,2022-03-04,13,BELMONT_1_N001,42.83405,11
2022-03-04T21:00:00-00:00,2022-03-04T22:00:00-00:00,2022-03-04,14,BELMONT_1_N001,52.09641,11
2022-03-04T22:00:00-00:00,2022-03-04T23:00:00-00:00,2022-03-04,15,BELMONT_1_N001,36.66465,11
2022-03-04T23:00:00-00:00,2022-03-05T00:00:00-00:00,2022-03-04,16,BELMONT_1_N001,39.48615,11
2022-03-05T00:00:00-00:00,2022-03-05T01:00:00-00:00,2022-03-04,17,BELMONT_1_N001,48.28464,11
2022-03-05T01:00:00-00:00,2022-03-05T02:00:00-00:00,2022-03-04,18,BELMONT_1_N001,59.6528,11
2022-03-05T02:00:00-00:00,2022-03-05T03:00:00-00:00,2022-03-04,19,BELMONT_1_N001,73.36219,11
2022-03-05T03:00:00-00:00,2022-03-05T04:00:00-00:00,2022-03-04,20,BELMONT_1_N001,64.60712,11
2022-03-05T04:00:00-00:00,2022-03-05T05:00:00-00:00,2022-03-04,21,BELMONT_1_N001,60.31189,11
2022-03-05T05:00:00-00:00,2022-03-05T06:00:00-00:00,2022-03-04,22,BELMONT_1_N001,58.34563,11
2022-03-05T06:00:00-00:00,2022-03-05T07:00:00-00:00,2022-03-04,23,BELMONT_1_N001,51.62015,11
2022-03-05T07:00:00-00:00,2022-03-05T08:00:00-00:00,2022-03-04,24,BELMONT_1_N001,49.13349,11
