INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,MW,GROUP
2022-03-02T08:00:00-00:00,2022-03-02T09:00:00-00:00,2022-03-02,1,CCOS7_7_B1,45.701,1
2022-03-02T09:00:00-00:00,2022-03-02T10:00:00-00:00,2022-03-02,2,CCOS7_7_B1,44.76622,1
2022-03-02T10:00:00-00:00,2022-03-02T11:00:00-00:00,2022-03-02,3,CCOS7_7_B1,44.80344,1
2022-03-02T11:00:00-00:00,2022-03-02T12:00:00-00:00,2022-03-02,4,CCOS7_7_B1,44.67251,1
2022-03-02T12:00:00-00:00,2022-03-02T13:00:00-00:00,2022-03-02,5,CCOS7_7_B1,47.39864,1
2022-03-02T13:00:00-00:00,2022-03-02T14:00:00-00:00,2022-03-02,6,CCOS7_7_B1,55.44529,1
2022-03-02T14:00:00-00:00,2022-03-02T15:00:00-00:00,2022-03-02,7,CCOS7_7_B1,69.59608,1
2022-03-02T15:00:00-00:00,2022-03-02T16:00:00-00:00,2022-03-02,8,CCOS7_7_B1,52.41822,1
2022-03-02T16:00:00-00:00,2022-03-02T17:00:00-00:00,2022-03-02,9,CCOS7_7_B1,40.62987,1
2022-03-02T17:00:00-00:00,2022-03-02T18:00:00-00:00,2022-03-02,10,CCOS7_7_B1,33.77677,1
2022-03-02T18:00:00-00:00,2022-03-02T19:00:00-00:00,2022-03-02,11,CCOS7_7_B1,30.35665,1
2022-03-02T19:00:00-00:00,2022-03-02T20:00:00-00:00,2022-03-02,12,CCOS7_7_B1,24.46017,1
2022-03-02T20:00:00-00:00,2022-03-02T21:00:00-00:00,2022-03-02,13,CCOS7_7_B1,25.91997,1
2022-03-02T21:00:00-00:00,2022-03-02T22:00:00-00:00,2022-03-02,14,CCOS7_7_B1,21.80204,1
2022-03-02T22:00:00-00:00,2022-03-02T23:00:00-00:00,2022-03-02,15,CCOS7_7_B1,27.9423,1
2022-03-02T23:00:00-00:00,2022-03-03T00:00:00-00:00,2022-03-02,16,CCOS7_7_B1,45.61563,1
2022-03-03T00:00:00-00:00,2022-03-03T01:00:00-00:00,2022-03-02,17,CCOS7_7_B1,52.67136,1
2022-03-03T01:00:00-00:00,2022-03-03T02:00:00-00:00,2022-03-02,18,CCOS7_7_B1,76.42591,1
2022-03-03T02:00:00-00:00,2022-03-03T03:00:00-00:00,2022-03-02,19,CCOS7_7_B1,89.73201,1
2022-03-03T03:00:00-00:00,2022-03-03T04:00:00-00:00,2022-03-02,20,CCOS7_7_B1,70.15117,1
2022-03-03T04:00:00-00:00,2022-03-03T05:00:00-00:00,2022-03-02,21,CCOS7_7_B1,63.43234,1
2022-03-03T05:00:00-00:00,2022-03-03T06:00:00-00:00,2022-03-02,22,CCOS7_7_B1,58.43823,1
2022-03-03T06:00:00-00:00,2022-03-03T07:00:00-00:00,2022-03-02,23,CCOS7_7_B1,50.90434,1
2022-03-03T07:00:00-00:00,2022-03-03T08:00:00-00:00,2022-03-02,24,CCOS7_7_B1,47.59603,1
2022-03-03T08:00:00-00:00,2022-03-03T09:00:00-00:00,2022-03-03,1,CCOS7_7_B1,52.60075,6
2022-03-03T09:00:00-00:00,2022-03-03T10:00:00-00:00,2022-03-03,2,CCOS7_7_B1,47.54025,6
2022-03-03T10:00:00-00:00,2022-03-03T11:00:00-00:00,2022-03-03,3,CCOS7_7_B1,46.26372,6
2022-03-03T11:00:00-00:00,2022-03-03T12:00:00-00:00,2022-03-03,4,CCOS7_7_B1,46.09502,6
2022-03-03T12:00:00-00:00,2022-03-03T13:00:00-00:00,2022-03-03,5,CCOS7_7_B1,49.24282,6
2022-03-03T13:00:00-00:00,2022-03-03T14:00:00-00:00,2022-03-03,6,CCOS7_7_B1,55.41292,6
2022-03-03T14:00:00-00:00,2022-03-03T15:00:00-00:00,2022-03-03,7,CCOS7_7_B1,66.0211,6
2022-03-03T15:00:00-00:00,2022-03-03T16:00:00-00:00,2022-03-03,8,CCOS7_7_B1,52.41414,6
2022-03-03T16:00:00-00:00,2022-03-03T17:00:00-00:00,2022-03-03,9,CCOS7_7_B1,47.01687,6
2022-03-03T17:00:00-00:00,2022-03-03T18:00:00-00:00,2022-03-03,10,CCOS7_7_B1,46.66208,6
2022-03-03T18:00:00-00:00,2022-03-03T19:00:00-00:00,2022-03-03,11,CCOS7_7_B1,41.93963,6
2022-03-03T19:00:00-00:00,2022-03-03T20:00:00-00:00,2022-03-03,12,CCOS7_7_B1,32.41427,6
2022-03-03T20:00:00-00:00,2022-03-03T21:00:00-00:00,2022-03-03,13,CCOS7_7_B1,31.89316,6
2022-03-03T21:00:00-00:00,2022-03-03T22:00:00-00:00,2022-03-03,14,CCOS7_7_B1,34.21503,6
2022-03-03T22:00:00-00:00,2022-03-03T23:00:00-00:00,2022-03-03,15,CCOS7_7_B1,36.63531,6
2022-03-03T23:00:00-00:00,2022-03-04T00:00:00-00:00,2022-03-03,16,CCOS7_7_B1,46.32872,6
2022-03-04T00:00:00-00:00,2022-03-04T01:00:00-00:00,2022-03-03,17,CCOS7_7_B1,55.74997,6
2022-03-04T01:00:00-00:00,2022-03-04T02:00:00-00:00,2022-03-03,18,CCOS7_7_B1,68.41424,6
2022-03-04T02:00:00-00:00,2022-03-04T03:00:00-00:00,2022-03-03,19,CCOS7_7_B1,81.4239,6
2022-03-04T03:00:00-00:00,2022-03-04T04:00:00-00:00,2022-03-03,20,CCOS7_7_B1,65.63536,6
2022-03-04T04:00:00-00:00,2022-03-04T05:00:00-00:00,2022-03-03,21,CCOS7_7_B1,64.28168,6
2022-03-04T05:00:00-00:00,2022-03-04T06:00:00-00:00,2022-03-03,22,CCOS7_7_B1,59.57658,6
2022-03-04T06:00:00-00:00,2022-03-04T07:00:00-00:00,2022-03-03,23,CCOS7_7_B1,53.80185,6
2022-03-04T07:00:00-00:00,2022-03-04T08:00:00-00:00,2022-03-03,24,CCOS7_7_B1,52.39771,6
2022-03-04T08:00:00-00:00,2022-03-04T09:00:00-00:00,2022-03-04,1,CCOS7_7_B1,47.73037,11
2022-03-04T09:00:00-00:00,2022-03-04T10:00:00-00:00,2022-03-04,2,CCOS7_7_B1,44.84413,11
2022-03-04T10:00:00-00:00,2022-03-04T11:00:00-00:00,2022-03-04,3,CCOS7_7_B1,43.51551,11
2022-03-04T11:00:00-00:00,2022-03-04T12:00:00-00:00,2022-03-04,4,CCOS7_7_B1,44.31742,11
2022-03-04T12:00:00-00:00,2022-03-04T13:00:00-00:00,2022-03-04,5,CCOS7_7_B1,46.48457,11
2022-03-04T13:00:00-00:00,2022-03-04T14:00:00-00:00,2022-03-04,6,CCOS7_7_B1,51.3993,11
2022-03-04T14:00:00-00:00,2022-03-04T15:00:00-00:00,2022-03-04,7,CCOS7_7_B1,63.22619,11
2022-03-04T15:00:00-00:00,2022-03-04T16:00:00-00:00,2022-03-04,8,CCOS7_7_B1,53.18699,11
2022-03-04T16:00:00-00:00,2022-03-04T17:00:00-00:00,2022-03-04,9,CCOS7_7_B1,47.11657,11
2022-03-04T17:00:00-00:00,2022-03-04T18:00:00-00:00,2022-03-04,10,CCOS7_7_B1,46.52062,11
2022-03-04T18:00:00-00:00,2022-03-04T19:00:00-00:00,2022-03-04,11,CCOS7_7_B1,48.81913,11
2022-03-04T19:00:00-00:00,2022-03-04T20:00:00-00:00,2022-03-04,12,CCOS7_7_B1,39.5701,11
2022-03-04T20:00:00-00:00,2022-03-04T21:00:00-00:00,2022-03-04,13,CCOS7_7_B1,33.58262,11
2022-03-04T21:00:00-00:00,2022-03-04T22:00:00-00:00,2022-03-04,14,CCOS7_7_B1,35.87596,11
2022-03-04T22:00:00-00:00,2022-03-04T23:00:00-00:00,2022-03-04,15,CCOS7_7_B1,30.71234,11
