INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,MW,GROUP
2022-01-31T08:00:00-00:00,2022-01-31T09:00:00-00:00,2022-01-31,1,CONTROLX_1_N010,41.28142,1
2022-01-31T09:00:00-00:00,2022-01-31T10:00:00-00:00,2022-01-31,2,CONTROLX_1_N010,41.74358,1
2022-01-31T10:00:00-00:00,2022-01-31T11:00:00-00:00,2022-01-31,3,CONTROLX_1_N010,40.20788,1
2022-01-31T11:00:00-00:00,2022-01-31T12:00:00-00:00,2022-01-31,4,CONTROLX_1_N010,40.57187,1
2022-01-31T12:00:00-00:00,2022-01-31T13:00:00-00:00,2022-01-31,5,CONTROLX_1_N010,44.26766,1
2022-01-31T13:00:00-00:00,2022-01-31T14:00:00-00:00,2022-01-31,6,CONTROLX_1_N010,50.81888,1
2022-01-31T14:00:00-00:00,2022-01-31T15:00:00-00:00,2022-01-31,7,CONTROLX_1_N010,63.87598,1
2022-01-31T15:00:00-00:00,2022-01-31T16:00:00-00:00,2022-01-31,8,CONTROLX_1_N010,57.56314,1
2022-01-31T16:00:00-00:00,2022-01-31T17:00:00-00:00,2022-01-31,9,CONTROLX_1_N010,46.86604,1
2022-01-31T17:00:00-00:00,2022-01-31T18:00:00-00:00,2022-01-31,10,CONTROLX_1_N010,41.88775,1
2022-01-31T18:00:00-00:00,2022-01-31T19:00:00-00:00,2022-01-31,11,CONTROLX_1_N010,38.06868,1
2022-01-31T19:00:00-00:00,2022-01-31T20:00:00-00:00,2022-01-31,12,CONTROLX_1_N010,35.15987,1
2022-01-31T20:00:00-00:00,2022-01-31T21:00:00-00:00,2022-01-31,13,CONTROLX_1_N010,33.72999,1
2022-01-31T21:00:00-00:00,2022-01-31T22:00:00-00:00,2022-01-31,14,CONTROLX_1_N010,30.83069,1
2022-01-31T22:00:00-00:00,2022-01-31T23:00:00-00:00,2022-01-31,15,CONTROLX_1_N010,32.66562,1
2022-01-31T23:00:00-00:00,2022-02-01T00:00:00-00:00,2022-01-31,16,CONTROLX_1_N010,41.66272,1
2022-02-01T00:00:00-00:00,2022-02-01T01:00:00-00:00,2022-01-31,17,CONTROLX_1_N010,50.13045,1
2022-02-01T01:00:00-00:00,2022-02-01T02:00:00-00:00,2022-01-31,18,CONTROLX_1_N010,65.60406,1
2022-02-01T02:00:00-00:00,2022-02-01T03:00:00-00:00,2022-01-31,19,CONTROLX_1_N010,62.04402,1
2022-02-01T03:00:00-00:00,2022-02-01T04:00:00-00:00,2022-01-31,20,CONTROLX_1_N010,54.65385,1
2022-02-01T04:00:00-00:00,2022-02-01T05:00:00-00:00,2022-01-31,21,CONTROLX_1_N010,51.28186,1
