INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,MW,GROUP
2022-01-31T08:00:00-00:00,2022-01-31T09:00:00-00:00,2022-01-31,1,COVELO6_6_N001,49.72447,1
2022-01-31T09:00:00-00:00,2022-01-31T10:00:00-00:00,2022-01-31,2,COVELO6_6_N001,48.53487,1
2022-01-31T10:00:00-00:00,2022-01-31T11:00:00-00:00,2022-01-31,3,COVELO6_6_N001,47.89309,1
2022-01-31T11:00:00-00:00,2022-01-31T12:00:00-00:00,2022-01-31,4,COVELO6_6_N001,48.76251,1
2022-01-31T12:00:00-00:00,2022-01-31T13:00:00-00:00,2022-01-31,5,COVELO6_6_N001,50.69172,1
2022-01-31T13:00:00-00:00,2022-01-31T14:00:00-00:00,2022-01-31,6,COVELO6_6_N001,60.94997,1
2022-01-31T14:00:00-00:00,2022-01-31T15:00:00-00:00,2022-01-31,7,COVELO6_6_N001,219.41457,1
2022-01-31T15:00:00-00:00,2022-01-31T16:00:00-00:00,2022-01-31,8,COVELO6_6_N001,88.53505,1
2022-01-31T16:00:00-00:00,2022-01-31T17:00:00-00:00,2022-01-31,9,COVELO6_6_N001,89.49522,1
2022-01-31T17:00:00-00:00,2022-01-31T18:00:00-00:00,2022-01-31,10,COVELO6_6_N001,70.94212,1
2022-01-31T18:00:00-00:00,2022-01-31T19:00:00-00:00,2022-01-31,11,COVELO6_6_N001,52.51237,1
2022-01-31T19:00:00-00:00,2022-01-31T20:00:00-00:00,2022-01-31,12,COVELO6_6_N001,49.64294,1
2022-01-31T20:00:00-00:00,2022-01-31T21:00:00-00:00,2022-01-31,13,COVELO6_6_N001,46.62796,1
2022-01-31T21:00:00-00:00,2022-01-31T22:00:00-00:00,2022-01-31,14,COVELO6_6_N001,43.16593,1
2022-01-31T22:00:00-00:00,2022-01-31T23:00:00-00:00,2022-01-31,15,COVELO6_6_N001,45.25472,1
2022-01-31T23:00:00-00:00,2022-02-01T00:00:00-00:00,2022-01-31,16,COVELO6_6_N001,53.37381,1
2022-02-01T00:00:00-00:00,2022-02-01T01:00:00-00:00,2022-01-31,17,COVELO6_6_N001,66.80336,1
2022-02-01T01:00:00-00:00,2022-02-01T02:00:00-00:00,2022-01-31,18,COVELO6_6_N001,92.9464,1
2022-02-01T02:00:00-00:00,2022-02-01T03:00:00-00:00,2022-01-31,19,COVELO6_6_N001,93.58312,1
2022-02-01T03:00:00-00:00,2022-02-01T04:00:00-00:00,2022-01-31,20,COVELO6_6_N001,74.16876,1
2022-02-01T04:00:00-00:00,2022-02-01T05:00:00-00:00,2022-01-31,21,COVELO6_6_N001,69.21562,1
2022-02-01T05:00:00-00:00,2022-02-01T06:00:00-00:00,2022-01-31,22,COVELO6_6_N001,62.18386,1
2022-02-01T06:00:00-00:00,2022-02-01T07:00:00-00:00,2022-01-31,23,COVELO6_6_N001,57.50158,1
2022-02-01T07:00:00-00:00,2022-02-01T08:00:00-00:00,2022-01-31,24,COVELO6_6_N001,51.64511,1
2022-02-01T08:00:00-00:00,2022-02-01T09:00:00-00:00,2022-02-01,1,COVELO6_6_N001,51.13698,6
2022-02-01T09:00:00-00:00,2022-02-01T10:00:00-00:00,2022-02-01,2,COVELO6_6_N001,50.94649,6
2022-02-01T10:00:00-00:00,2022-02-01T11:00:00-00:00,2022-02-01,3,COVELO6_6_N001,49.2239,6
2022-02-01T11:00:00-00:00,2022-02-01T12:00:00-00:00,2022-02-01,4,COVELO6_6_N001,49.81737,6
2022-02-01T12:00:00-00:00,2022-02-01T13:00:00-00:00,2022-02-01,5,COVELO6_6_N001,50.64292,6
2022-02-01T13:00:00-00:00,2022-02-01T14:00:00-00:00,2022-02-01,6,COVELO6_6_N001,56.6711,6
2022-02-01T14:00:00-00:00,2022-02-01T15:00:00-00:00,2022-02-01,7,COVELO6_6_N001,72.0,6
2022-02-01T15:00:00-00:00,2022-02-01T16:00:00-00:00,2022-02-01,8,COVELO6_6_N001,74.63,6
2022-02-01T16:00:00-00:00,2022-02-01T17:00:00-00:00,2022-02-01,9,COVELO6_6_N001,56.41272,6
2022-02-01T17:00:00-00:00,2022-02-01T18:00:00-00:00,2022-02-01,10,COVELO6_6_N001,54.17535,6
2022-02-01T18:00:00-00:00,2022-02-01T19:00:00-00:00,2022-02-01,11,COVELO6_6_N001,48.06194,6
2022-02-01T19:00:00-00:00,2022-02-01T20:00:00-00:00,2022-02-01,12,COVELO6_6_N001,41.01312,6
2022-02-01T20:00:00-00:00,2022-02-01T21:00:00-00:00,2022-02-01,13,COVELO6_6_N001,36.63204,6
2022-02-01T21:00:00-00:00,2022-02-01T22:00:00-00:00,2022-02-01,14,COVELO6_6_N001,33.60152,6
2022-02-01T22:00:00-00:00,2022-02-01T23:00:00-00:00,2022-02-01,15,COVELO6_6_N001,35.3742,6
2022-02-01T23:00:00-00:00,2022-02-02T00:00:00-00:00,2022-02-01,16,COVELO6_6_N001,47.19372,6
2022-02-02T00:00:00-00:00,2022-02-02T01:00:00-00:00,2022-02-01,17,COVELO6_6_N001,63.82366,6
2022-02-02T01:00:00-00:00,2022-02-02T02:00:00-00:00,2022-02-01,18,COVELO6_6_N001,78.49907,6
2022-02-02T02:00:00-00:00,2022-02-02T03:00:00-00:00,2022-02-01,19,COVELO6_6_N001,77.70601,6
2022-02-02T03:00:00-00:00,2022-02-02T04:00:00-00:00,2022-02-01,20,COVELO6_6_N001,76.91409,6
2022-02-02T04:00:00-00:00,2022-02-02T05:00:00-00:00,2022-02-01,21,COVELO6_6_N001,77.22465,6
2022-02-02T05:00:00-00:00,2022-02-02T06:00:00-00:00,2022-02-01,22,COVELO6_6_N001,67.49126,6
2022-02-02T06:00:00-00:00,2022-02-02T07:00:00-00:00,2022-02-01,23,COVELO6_6_N001,55.16679,6
2022-02-02T07:00:00-00:00,2022-02-02T08:00:00-00:00,2022-02-01,24,COVELO6_6_N001,54.14644,6
2022-02-02T08:00:00-00:00,2022-02-02T09:00:00-00:00,2022-02-02,1,COVELO6_6_N001,58.82924,11
2022-02-02T09:00:00-00:00,2022-02-02T10:00:00-00:00,2022-02-02,2,COVELO6_6_N001,58.82704,11
2022-02-02T10:00:00-00:00,2022-02-02T11:00:00-00:00,2022-02-02,3,COVELO6_6_N001,56.17979,11
2022-02-02T11:00:00-00:00,2022-02-02T12:00:00-00:00,2022-02-02,4,COVELO6_6_N001,56.70741,11
2022-02-02T12:00:00-00:00,2022-02-02T13:00:00-00:00,2022-02-02,5,COVELO6_6_N001,59.64,11
2022-02-02T13:00:00-00:00,2022-02-02T14:00:00-00:00,2022-02-02,6,COVELO6_6_N001,67.96458,11
2022-02-02T14:00:00-00:00,2022-02-02T15:00:00-00:00,2022-02-02,7,COVELO6_6_N001,93.11873,11
2022-02-02T15:00:00-00:00,2022-02-02T16:00:00-00:00,2022-02-02,8,COVELO6_6_N001,103.6379,11
2022-02-02T16:00:00-00:00,2022-02-02T17:00:00-00:00,2022-02-02,9,COVELO6_6_N001,55.86,11
2022-02-02T17:00:00-00:00,2022-02-02T18:00:00-00:00,2022-02-02,10,COVELO6_6_N001,44.65921,11
2022-02-02T18:00:00-00:00,2022-02-02T19:00:00-00:00,2022-02-02,11,COVELO6_6_N001,44.87836,11
2022-02-02T19:00:00-00:00,2022-02-02T20:00:00-00:00,2022-02-02,12,COVELO6_6_N001,38.8311,11
2022-02-02T20:00:00-00:00,2022-02-02T21:00:00-00:00,2022-02-02,13,COVELO6_6_N001,30.79681,11
2022-02-02T21:00:00-00:00,2022-02-02T22:00:00-00:00,2022-02-02,14,COVELO6_6_N001,30.49415,11
2022-02-02T22:00:00-00:00,2022-02-02T23:00:00-00:00,2022-02-02,15,COVELO6_6_N001,31.46064,11
2022-02-02T23:00:00-00:00,2022-02-03T00:00:00-00:00,2022-02-02,16,COVELO6_6_N001,47.3178,11
2022-02-03T00:00:00-00:00,2022-02-03T01:00:00-00:00,2022-02-02,17,COVELO6_6_N001,77.03939,11
2022-02-03T01:00:00-00:00,2022-02-03T02:00:00-00:00,2022-02-02,18,COVELO6_6_N001,83.36059,11
2022-02-03T02:00:00-00:00,2022-02-03T03:00:00-00:00,2022-02-02,19,COVELO6_6_N001,95.84,11
2022-02-03T03:00:00-00:00,2022-02-03T04:00:00-00:00,2022-02-02,20,COVELO6_6_N001,97.21315,11
2022-02-03T04:00:00-00:00,2022-02-03T05:00:00-00:00,2022-02-02,21,COVELO6_6_N001,89.54889,11
2022-02-03T05:00:00-00:00,2022-02-03T06:00:00-00:00,2022-02-02,22,COVELO6_6_N001,78.53815,11
2022-02-03T06:00:00-00:00,2022-02-03T07:00:00-00:00,2022-02-02,23,COVELO6_6_N001,63.49902,11
2022-02-03T07:00:00-00:00,2022-02-03T08:00:00-00:00,2022-02-02,24,COVELO6_6_N001,59.33319,11
2022-02-03T08:00:00-00:00,2022-02-03T09:00:00-00:00,2022-02-03,1,COVELO6_6_N001,65.80721,16
2022-02-03T09:00:00-00:00,2022-02-03T10:00:00-00:00,2022-02-03,2,COVELO6_6_N001,66.41149,16
2022-02-03T10:00:00-00:00,2022-02-03T11:00:00-00:00,2022-02-03,3,COVELO6_6_N001,62.3886,16
2022-02-03T11:00:00-00:00,2022-02-03T12:00:00-00:00,2022-02-03,4,COVELO6_6_N001,64.52406,16
2022-02-03T12:00:00-00:00,2022-02-03T13:00:00-00:00,2022-02-03,5,COVELO6_6_N001,67.68534,16
2022-02-03T13:00:00-00:00,2022-02-03T14:00:00-00:00,2022-02-03,6,COVELO6_6_N001,78.13822,16
2022-02-03T14:00:00-00:00,2022-02-03T15:00:00-00:00,2022-02-03,7,COVELO6_6_N001,115.74069,16
2022-02-03T15:00:00-00:00,2022-02-03T16:00:00-00:00,2022-02-03,8,COVELO6_6_N001,107.78641,16
2022-02-03T16:00:00-00:00,2022-02-03T17:00:00-00:00,2022-02-03,9,COVELO6_6_N001,78.03369,16
2022-02-03T17:00:00-00:00,2022-02-03T18:00:00-00:00,2022-02-03,10,COVELO6_6_N001,60.22993,16
2022-02-03T18:00:00-00:00,2022-02-03T19:00:00-00:00,2022-02-03,11,COVELO6_6_N001,53.35518,16
2022-02-03T19:00:00-00:00,2022-02-03T20:00:00-00:00,2022-02-03,12,COVELO6_6_N001,42.91953,16
2022-02-03T20:00:00-00:00,2022-02-03T21:00:00-00:00,2022-02-03,13,COVELO6_6_N001,41.43521,16
2022-02-03T21:00:00-00:00,2022-02-03T22:00:00-00:00,2022-02-03,14,COVELO6_6_N001,39.74408,16
2022-02-03T22:00:00-00:00,2022-02-03T23:00:00-00:00,2022-02-03,15,COVELO6_6_N001,42.27635,16
2022-02-03T23:00:00-00:00,2022-02-04T00:00:00-00:00,2022-02-03,16,COVELO6_6_N001,59.11386,16
2022-02-04T00:00:00-00:00,2022-02-04T01:00:00-00:00,2022-02-03,17,COVELO6_6_N001,85.18688,16
2022-02-04T01:00:00-00:00,2022-02-04T02:00:00-00:00,2022-02-03,18,COVELO6_6_N001,113.75117,16
2022-02-04T02:00:00-00:00,2022-02-04T03:00:00-00:00,2022-02-03,19,COVELO6_6_N001,113.37,16
2022-02-04T03:00:00-00:00,2022-02-04T04:00:00-00:00,2022-02-03,20,COVELO6_6_N001,113.08586,16
2022-02-04T04:00:00-00:00,2022-02-04T05:00:00-00:00,2022-02-03,21,COVELO6_6_N001,108.73642,16
2022-02-04T05:00:00-00:00,2022-02-04T06:00:00-00:00,2022-02-03,22,COVELO6_6_N001,95.72714,16
2022-02-04T06:00:00-00:00,2022-02-04T07:00:00-00:00,2022-02-03,23,COVELO6_6_N001,80.08357,16
2022-02-04T07:00:00-00:00,2022-02-04T08:00:00-00:00,2022-02-03,24,COVELO6_6_N001,75.6265,16
2022-02-04T08:00:00-00:00,2022-02-04T09:00:00-00:00,2022-02-04,1,COVELO6_6_N001,58.82991,21
2022-02-04T09:00:00-00:00,2022-02-04T10:00:00-00:00,2022-02-04,2,COVELO6_6_N001,58.68552,21
2022-02-04T10:00:00-00:00,2022-02-04T11:00:00-00:00,2022-02-04,3,COVELO6_6_N001,55.17324,21
2022-02-04T11:00:00-00:00,2022-02-04T12:00:00-00:00,2022-02-04,4,COVELO6_6_N001,54.84088,21
2022-02-04T12:00:00-00:00,2022-02-04T13:00:00-00:00,2022-02-04,5,COVELO6_6_N001,59.65259,21
2022-02-04T13:00:00-00:00,2022-02-04T14:00:00-00:00,2022-02-04,6,COVELO6_6_N001,73.36142,21
2022-02-04T14:00:00-00:00,2022-02-04T15:00:00-00:00,2022-02-04,7,COVELO6_6_N001,98.24469,21
2022-02-04T15:00:00-00:00,2022-02-04T16:00:00-00:00,2022-02-04,8,COVELO6_6_N001,86.55634,21
2022-02-04T16:00:00-00:00,2022-02-04T17:00:00-00:00,2022-02-04,9,COVELO6_6_N001,63.56559,21
2022-02-04T17:00:00-00:00,2022-02-04T18:00:00-00:00,2022-02-04,10,COVELO6_6_N001,49.81855,21
2022-02-04T18:00:00-00:00,2022-02-04T19:00:00-00:00,2022-02-04,11,COVELO6_6_N001,44.34384,21
2022-02-04T19:00:00-00:00,2022-02-04T20:00:00-00:00,2022-02-04,12,COVELO6_6_N001,35.59123,21
2022-02-04T20:00:00-00:00,2022-02-04T21:00:00-00:00,2022-02-04,13,COVELO6_6_N001,31.00199,21
2022-02-04T21:00:00-00:00,2022-02-04T22:00:00-00:00,2022-02-04,14,COVELO6_6_N001,29.21364,21
2022-02-04T22:00:00-00:00,2022-02-04T23:00:00-00:00,2022-02-04,15,COVELO6_6_N001,31.38722,21
2022-02-04T23:00:00-00:00,2022-02-05T00:00:00-00:00,2022-02-04,16,COVELO6_6_N001,45.96735,21
2022-02-05T00:00:00-00:00,2022-02-05T01:00:00-00:00,2022-02-04,17,COVELO6_6_N001,69.37786,21
2022-02-05T01:00:00-00:00,2022-02-05T02:00:00-00:00,2022-02-04,18,COVELO6_6_N001,91.42758,21
2022-02-05T02:00:00-00:00,2022-02-05T03:00:00-00:00,2022-02-04,19,COVELO6_6_N001,98.98255,21
2022-02-05T03:00:00-00:00,2022-02-05T04:00:00-00:00,2022-02-04,20,COVELO6_6_N001,87.11064,21
2022-02-05T04:00:00-00:00,2022-02-05T05:00:00-00:00,2022-02-04,21,COVELO6_6_N001,82.10227,21
2022-02-05T05:00:00-00:00,2022-02-05T06:00:00-00:00,2022-02-04,22,COVELO6_6_N001,76.42978,21
2022-02-05T06:00:00-00:00,2022-02-05T07:00:00-00:00,2022-02-04,23,COVELO6_6_N001,63.72104,21
2022-02-05T07:00:00-00:00,2022-02-05T08:00:00-00:00,2022-02-04,24,COVELO6_6_N001,61.70248,21
2022-02-05T08:00:00-00:00,2022-02-05T09:00:00-00:00,2022-02-05,1,COVELO6_6_N001,58.67363,26
2022-02-05T09:00:00-00:00,2022-02-05T10:00:00-00:00,2022-02-05,2,COVELO6_6_N001,56.61123,26
2022-02-05T10:00:00-00:00,2022-02-05T11:00:00-00:00,2022-02-05,3,COVELO6_6_N001,54.4826,26
2022-02-05T11:00:00-00:00,2022-02-05T12:00:00-00:00,2022-02-05,4,COVELO6_6_N001,55.20205,26
2022-02-05T12:00:00-00:00,2022-02-05T13:00:00-00:00,2022-02-05,5,COVELO6_6_N001,56.99776,26
2022-02-05T13:00:00-00:00,2022-02-05T14:00:00-00:00,2022-02-05,6,COVELO6_6_N001,61.95046,26
2022-02-05T14:00:00-00:00,2022-02-05T15:00:00-00:00,2022-02-05,7,COVELO6_6_N001,80.78431,26
2022-02-05T15:00:00-00:00,2022-02-05T16:00:00-00:00,2022-02-05,8,COVELO6_6_N001,62.87296,26
2022-02-05T16:00:00-00:00,2022-02-05T17:00:00-00:00,2022-02-05,9,COVELO6_6_N001,52.8866,26
2022-02-05T17:00:00-00:00,2022-02-05T18:00:00-00:00,2022-02-05,10,COVELO6_6_N001,34.27032,26
2022-02-05T18:00:00-00:00,2022-02-05T19:00:00-00:00,2022-02-05,11,COVELO6_6_N001,21.57782,26
2022-02-05T19:00:00-00:00,2022-02-05T20:00:00-00:00,2022-02-05,12,COVELO6_6_N001,14.80056,26
2022-02-05T20:00:00-00:00,2022-02-05T21:00:00-00:00,2022-02-05,13,COVELO6_6_N001,14.50814,26
2022-02-05T21:00:00-00:00,2022-02-05T22:00:00-00:00,2022-02-05,14,COVELO6_6_N001,14.41391,26
2022-02-05T22:00:00-00:00,2022-02-05T23:00:00-00:00,2022-02-05,15,COVELO6_6_N001,22.34105,26
2022-02-05T23:00:00-00:00,2022-02-06T00:00:00-00:00,2022-02-05,16,COVELO6_6_N001,41.88609,26
2022-02-06T00:00:00-00:00,2022-02-06T01:00:00-00:00,2022-02-05,17,COVELO6_6_N001,61.36238,26
2022-02-06T01:00:00-00:00,2022-02-06T02:00:00-00:00,2022-02-05,18,COVELO6_6_N001,82.57994,26
2022-02-06T02:00:00-00:00,2022-02-06T03:00:00-00:00,2022-02-05,19,COVELO6_6_N001,89.28301,26
2022-02-06T03:00:00-00:00,2022-02-06T04:00:00-00:00,2022-02-05,20,COVELO6_6_N001,79.58097,26
2022-02-06T04:00:00-00:00,2022-02-06T05:00:00-00:00,2022-02-05,21,COVELO6_6_N001,75.00088,26
2022-02-06T05:00:00-00:00,2022-02-06T06:00:00-00:00,2022-02-05,22,COVELO6_6_N001,70.08546,26
2022-02-06T06:00:00-00:00,2022-02-06T07:00:00-00:00,2022-02-05,23,COVELO6_6_N001,64.01554,26
2022-02-06T07:00:00-00:00,2022-02-06T08:00:00-00:00,2022-02-05,24,COVELO6_6_N001,58.70173,26
2022-02-06T08:00:00-00:00,2022-02-06T09:00:00-00:00,2022-02-06,1,COVELO6_6_N001,53.71231,31
2022-02-06T09:00:00-00:00,2022-02-06T10:00:00-00:00,2022-02-06,2,COVELO6_6_N001,54.5746,31
2022-02-06T10:00:00-00:00,2022-02-06T11:00:00-00:00,2022-02-06,3,COVELO6_6_N001,51.04068,31
2022-02-06T11:00:00-00:00,2022-02-06T12:00:00-00:00,2022-02-06,4,COVELO6_6_N001,52.62858,31
2022-02-06T12:00:00-00:00,2022-02-06T13:00:00-00:00,2022-02-06,5,COVELO6_6_N001,55.07009,31
2022-02-06T13:00:00-00:00,2022-02-06T14:00:00-00:00,2022-02-06,6,COVELO6_6_N001,57.37123,31
2022-02-06T14:00:00-00:00,2022-02-06T15:00:00-00:00,2022-02-06,7,COVELO6_6_N001,62.85572,31
2022-02-06T15:00:00-00:00,2022-02-06T16:00:00-00:00,2022-02-06,8,COVELO6_6_N001,56.33644,31
2022-02-06T16:00:00-00:00,2022-02-06T17:00:00-00:00,2022-02-06,9,COVELO6_6_N001,38.4933,31
2022-02-06T17:00:00-00:00,2022-02-06T18:00:00-00:00,2022-02-06,10,COVELO6_6_N001,16.32772,31
2022-02-06T18:00:00-00:00,2022-02-06T19:00:00-00:00,2022-02-06,11,COVELO6_6_N001,7.94577,31
2022-02-06T19:00:00-00:00,2022-02-06T20:00:00-00:00,2022-02-06,12,COVELO6_6_N001,5.46493,31
2022-02-06T20:00:00-00:00,2022-02-06T21:00:00-00:00,2022-02-06,13,COVELO6_6_N001,4.29688,31
2022-02-06T21:00:00-00:00,2022-02-06T22:00:00-00:00,2022-02-06,14,COVELO6_6_N001,3.79762,31
2022-02-06T22:00:00-00:00,2022-02-06T23:00:00-00:00,2022-02-06,15,COVELO6_6_N001,5.94318,31
2022-02-06T23:00:00-00:00,2022-02-07T00:00:00-00:00,2022-02-06,16,COVELO6_6_N001,28.07218,31
2022-02-07T00:00:00-00:00,2022-02-07T01:00:00-00:00,2022-02-06,17,COVELO6_6_N001,57.3549,31
2022-02-07T01:00:00-00:00,2022-02-07T02:00:00-00:00,2022-02-06,18,COVELO6_6_N001,76.51431,31
2022-02-07T02:00:00-00:00,2022-02-07T03:00:00-00:00,2022-02-06,19,COVELO6_6_N001,81.56777,31
2022-02-07T03:00:00-00:00,2022-02-07T04:00:00-00:00,2022-02-06,20,COVELO6_6_N001,76.0542,31
2022-02-07T04:00:00-00:00,2022-02-07T05:00:00-00:00,2022-02-06,21,COVELO6_6_N001,69.44071,31
