INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,MW,GROUP
2022-03-02T08:00:00-00:00,2022-03-02T09:00:00-00:00,2022-03-02,1,CURTIS1_7_N001,46.18554,1
2022-03-02T09:00:00-00:00,2022-03-02T10:00:00-00:00,2022-03-02,2,CURTIS1_7_N001,44.50339,1
2022-03-02T10:00:00-00:00,2022-03-02T11:00:00-00:00,2022-03-02,3,CURTIS1_7_N001,44.54547,1
2022-03-02T11:00:00-00:00,2022-03-02T12:00:00-00:00,2022-03-02,4,CURTIS1_7_N001,44.40155,1
2022-03-02T12:00:00-00:00,2022-03-02T13:00:00-00:00,2022-03-02,5,CURTIS1_7_N001,47.59122,1
2022-03-02T13:00:00-00:00,2022-03-02T14:00:00-00:00,2022-03-02,6,CURTIS1_7_N001,55.5388,1
2022-03-02T14:00:00-00:00,2022-03-02T15:00:00-00:00,2022-03-02,7,CURTIS1_7_N001,69.66495,1
2022-03-02T15:00:00-00:00,2022-03-02T16:00:00-00:00,2022-03-02,8,CURTIS1_7_N001,53.14159,1
2022-03-02T16:00:00-00:00,2022-03-02T17:00:00-00:00,2022-03-02,9,CURTIS1_7_N001,42.35522,1
2022-03-02T17:00:00-00:00,2022-03-02T18:00:00-00:00,2022-03-02,10,CURTIS1_7_N001,33.60891,1
2022-03-02T18:00:00-00:00,2022-03-02T19:00:00-00:00,2022-03-02,11,CURTIS1_7_N001,30.4352,1
2022-03-02T19:00:00-00:00,2022-03-02T20:00:00-00:00,2022-03-02,12,CURTIS1_7_N001,25.05475,1
2022-03-02T20:00:00-00:00,2022-03-02T21:00:00-00:00,2022-03-02,13,CURTIS1_7_N001,26.72113,1
2022-03-02T21:00:00-00:00,2022-03-02T22:00:00-00:00,2022-03-02,14,CURTIS1_7_N001,21.57338,1
2022-03-02T22:00:00-00:00,2022-03-02T23:00:00-00:00,2022-03-02,15,CURTIS1_7_N001,27.94772,1
2022-03-02T23:00:00-00:00,2022-03-03T00:00:00-00:00,2022-03-02,16,CURTIS1_7_N001,46.24081,1
2022-03-03T00:00:00-00:00,2022-03-03T01:00:00-00:00,2022-03-02,17,CURTIS1_7_N001,53.64391,1
2022-03-03T01:00:00-00:00,2022-03-03T02:00:00-00:00,2022-03-02,18,CURTIS1_7_N001,75.28669,1
2022-03-03T02:00:00-00:00,2022-03-03T03:00:00-00:00,2022-03-02,19,CURTIS1_7_N001,89.36904,1
2022-03-03T03:00:00-00:00,2022-03-03T04:00:00-00:00,2022-03-02,20,CURTIS1_7_N001,70.15117,1
2022-03-03T04:00:00-00:00,2022-03-03T05:00:00-00:00,2022-03-02,21,CURTIS1_7_N001,65.19557,1
2022-03-03T05:00:00-00:00,2022-03-03T06:00:00-00:00,2022-03-02,22,CURTIS1_7_N001,58.92608,1
2022-03-03T06:00:00-00:00,2022-03-03T07:00:00-00:00,2022-03-02,23,CURTIS1_7_N001,52.48067,1
2022-03-03T07:00:00-00:00,2022-03-03T08:00:00-00:00,2022-03-02,24,CURTIS1_7_N001,48.20944,1
2022-03-03T08:00:00-00:00,2022-03-03T09:00:00-00:00,2022-03-03,1,CURTIS1_7_N001,53.17182,6
2022-03-03T09:00:00-00:00,2022-03-03T10:00:00-00:00,2022-03-03,2,CURTIS1_7_N001,47.42264,6
2022-03-03T10:00:00-00:00,2022-03-03T11:00:00-00:00,2022-03-03,3,CURTIS1_7_N001,46.03887,6
2022-03-03T11:00:00-00:00,2022-03-03T12:00:00-00:00,2022-03-03,4,CURTIS1_7_N001,46.15906,6
2022-03-03T12:00:00-00:00,2022-03-03T13:00:00-00:00,2022-03-03,5,CURTIS1_7_N001,49.42776,6
2022-03-03T13:00:00-00:00,2022-03-03T14:00:00-00:00,2022-03-03,6,CURTIS1_7_N001,55.09839,6
2022-03-03T14:00:00-00:00,2022-03-03T15:00:00-00:00,2022-03-03,7,CURTIS1_7_N001,64.52121,6
2022-03-03T15:00:00-00:00,2022-03-03T16:00:00-00:00,2022-03-03,8,CURTIS1_7_N001,52.40019,6
2022-03-03T16:00:00-00:00,2022-03-03T17:00:00-00:00,2022-03-03,9,CURTIS1_7_N001,49.73812,6
2022-03-03T17:00:00-00:00,2022-03-03T18:00:00-00:00,2022-03-03,10,CURTIS1_7_N001,45.27036,6
2022-03-03T18:00:00-00:00,2022-03-03T19:00:00-00:00,2022-03-03,11,CURTIS1_7_N001,42.43151,6
2022-03-03T19:00:00-00:00,2022-03-03T20:00:00-00:00,2022-03-03,12,CURTIS1_7_N001,33.33384,6
2022-03-03T20:00:00-00:00,2022-03-03T21:00:00-00:00,2022-03-03,13,CURTIS1_7_N001,32.4281,6
2022-03-03T21:00:00-00:00,2022-03-03T22:00:00-00:00,2022-03-03,14,CURTIS1_7_N001,32.73435,6
