OID_,AREA,NODE_ID,TYPE
0,CA,2C559EQ2_7_N001,GEN
1,CA,ADCC_2_N001,GEN
2,CA,AEC300_1_N001,LOAD
3,PACW,AGER_LNODE35,LOAD
4,CA,AGNEW_1_N003,LOAD
5,CA,AGUAMNSA_7_B1,GEN
6,CA,AIRPROD_1_N001,LOAD
7,CA,ALAMITOS_2_N001,LOAD
8,CA,ALAMITOS_2_N040,LOAD
9,CA,ALAMOSC_7_N001,GEN
10,CA,ALAMT1G_7_B1,GEN
11,CA,ALAMT1G_7_N002,LOAD
12,CA,ALAMT2G_7_B1,GEN
13,CA,ALAMT2G_7_N002,LOAD
14,CA,ALAMT3G_7_B1,GEN
15,CA,ALAMT3G_7_N002,LOAD
16,CA,ALAMT4G_7_B1,GEN
17,CA,ALAMT4G_7_N002,LOAD
18,CA,ALAMT5G_7_B1,GEN
19,CA,ALAMT5G_7_N002,LOAD
20,CA,ALAMT6G_7_B1,GEN
21,CA,ALAMT6G_7_N002,LOAD
22,CA,ALHAMBRA_1_N001,LOAD
23,CA,ALHAMBRA_1_N002,LOAD
24,CA,ALLEGHNY_6_N001,LOAD
25,CA,ALMADEN_6_N001,LOAD
26,CA,ALMDACT1_7_B1,GEN
27,CA,ALMDACT2_7_B1,GEN
28,CA,ALPAUGH_1_N001,LOAD
29,CA,ALPINE_6_N001,LOAD
30,CA,ALPINE_6_N005,LOAD
31,CA,ALTA1G_7_B1,GEN
32,CA,ALTA2G_7_B1,GEN
33,CA,ALTA30ST_7_B1,GEN
34,CA,ALTA31GT_7_B1,GEN
35,CA,ALTA40ST_7_B1,GEN
36,CA,ALTA41GT_7_B1,GEN
37,CA,ALTA6B2_7_N003,GEN
38,CA,ALTA6E2_7_N002,GEN
39,CA,ALTAD1_7_N006,GEN
40,CA,ALTAD2_7_N006,GEN
41,CA,ALTMMDW_2_N001,GEN
42,CA,ALTO_6_N001,LOAD
43,CA,ALTO_6_N101,LOAD
44,PACW,ALTURAS_LNODE17,LOAD
45,CA,ALTWIND_1_N001,GEN
46,CA,AMERIGAS_1_N001,LOAD
47,CA,AMESBS_1_N004,LOAD
48,CA,AMESBS_1_N101,LOAD
49,CA,AMESDST_1_N001,LOAD
50,CA,AMFORST_6_N001,LOAD
51,CA,AMSTGSW_6_N004,GEN
52,CA,ANAHEIMG_7_B1,GEN
53,CA,ANDERSON_6_N001,LOAD
54,CA,ANGIOLA_6_N001,LOAD
55,CA,ANITA_6_N001,LOAD
56,CA,ANNAPOLS_6_N001,LOAD
57,CA,ANTELOPE_6_N001,LOAD
58,CA,ANTLER_6_N001,LOAD
59,CA,APPLEHL_1_N001,LOAD
60,CA,APPLEHL_1_N002,LOAD
61,CA,APPLEHL_1_N004,GEN
62,CA,APPMAT_1_N001,LOAD
63,CA,APPMAT_1_N010,LOAD
64,CA,APTORVC_6_N002,GEN
65,CA,ARBUCKLE_6_N001,LOAD
66,CA,ARBWIND_6_N001,GEN
67,CA,ARCATA_6_N001,LOAD
68,CA,ARCO1G_7_B1,GEN
69,CA,ARTESN_6_N001,LOAD
70,CA,ARVINED_1_N001,LOAD
71,CA,ARVIN_6_N001,LOAD
72,CA,ASHLAN_2_N001,LOAD
73,CA,ASHLAN_2_N007,LOAD
74,CA,ASHLAN_2_N008,LOAD
75,CA,ASH_6_N001,LOAD
76,CA,ASH_6_N005,LOAD
77,CA,ASH_6_N101,LOAD
78,CA,ATASCDRO_6_N001,LOAD
79,CA,ATWATER_1_B2,LOAD
80,CA,ATWATER_1_N001,LOAD
81,CA,ATWELL_1_N001,GEN
82,CA,AUBERRY_6_N001,LOAD
83,CA,AUBERRY_6_N003,LOAD
84,CA,AUBURN_6_N001,LOAD
85,CA,AVENAL_6_GN001,GEN
86,CA,AVENAL_6_GN002,GEN
87,CA,AVENAL_6_GN003,GEN
88,CA,AVENA_1_N001,LOAD
89,CA,AVOCADO_6_N001,LOAD
90,CA,AVOCADO_6_N002,LOAD
91,CA,AVSOLAR_7_N008,GEN
92,CA,BADGERCK_7_N001,GEN
93,CA,BAFCOG12_7_B1,GEN
94,CA,BAFOOD1_6_N001,LOAD
95,CA,BAHIA_2_N001,LOAD
96,CA,BAHIA_2_N011,LOAD
97,CA,BAILYJ1_1_N010,LOAD
98,CA,BAIR_1_N001,LOAD
99,CA,BAKER_1_N001,LOAD
100,CA,BALCH1_7_B2,GEN
101,CA,BALFOUR_6_N001,LOAD
102,CA,BANGOR_6_N001,LOAD
103,CA,BANNING_1_N001,LOAD
