,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,25.138403555555556,29.94705946666667,34.059342774193546,39.352051333333335,40.60841348387097,33.4419542,28.932511428571427,29.1257216,18.164363724137928,12.102618999999999,15.768071655172415,18.331103066666667,28.63221886666667,29.9594615862069,35.2857532,36.48418379310345,41.7989952,34.97932837735849,55.321136214285715,36.515613483870965,33.1749146,23.525705677419353,34.351728666666666,47.145621806451615,47.06215677419355,56.34547846666667,57.92936877419354,54.720457466666666,62.518855548387094,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,25.92814385185185,30.890732266666667,36.68377012903226,39.7500556,40.8364275483871,33.8636335,30.1191370877193,31.34753312727273,22.454536827586207,14.443023733333332,17.62183717241379,18.6810638,28.365676399999998,31.03975048275862,36.1493096,37.69563027586207,42.03631906666667,36.35913511111111,56.627948,38.11829496774194,38.966255266666664,34.462529548387096,36.9532792,48.59099103225807,49.10462858064516,59.06558533333333,70.40705445161291,59.80357273333334,64.51810877419355,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,25.992138592592593,30.979387133333336,36.53015870967742,39.70449466666667,40.59389277419355,34.450492733333334,30.45028657142857,31.723867333333335,22.485040413793104,14.129204666666668,18.16097075862069,18.7361918,28.25330213333333,30.850695931034483,36.333791866666665,37.882736689655175,42.2319026,36.46230829629629,52.908943,37.89802812903226,38.8131052,33.8328504516129,36.832144066666665,48.35130948387097,49.14947735483871,59.005177933333336,71.94892625806452,60.15379553333334,64.57601232258064,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,24.731121333333334,29.683904333333334,35.448225096774195,38.106392199999995,39.537479806451614,33.2030064,28.796632785714284,29.408676333333332,21.001348689655174,13.210737666666667,16.533408965517243,17.723013066666667,27.564677999999997,29.787800344827588,34.25244033333333,35.152326137931034,39.31339606666666,34.742884,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,26.83347688888889,31.846435266666667,37.78402438709678,40.91660473333334,42.11199141935484,35.72544473333333,31.40889578571429,32.110437399999995,24.002283103448278,16.328550533333335,19.073053379310345,19.46161586666667,29.1496248,32.40163103448276,37.54580346666667,38.79491255172414,43.20297753333334,37.99477240740741,58.00089978571429,39.77338870967742,40.209968866666664,36.48589438709677,38.41875726666667,50.00890012903226,50.86518716129032,61.12057046666666,72.95575174193547,62.05654306666667,66.94537251612904,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,29.3899982,25.869657806451613,31.0826034,36.16163541935484,44.0069478,44.74827941935484,38.05431980327869,31.05771743859649,29.283918885245903,19.62780420338983,12.858328393442623,16.25580488135593,18.951303803278687,33.30594855737705,31.500514305084746,38.63667957377049,38.495274949152545,44.2587762295082,37.52907985882353,67.56267592857142,39.473302000000004,32.46843773333333,25.080474516129033,35.86348746666667,48.93622529032258,48.56087483870968,58.761451,59.653142,55.615347533333335,63.472295612903224,56.15078419354839,46.25110442857143,46.358226375,59.08177906666666,51.96778432258064,52.91447013333333,60.22825361290323,84.30847929411765,78.9794531724138,,,
AIRPROD_1_N001,,,,,,,28.785679000000002,25.458618193548386,31.2468534,36.21705225806452,40.4506498,41.34207993548387,34.49596383606557,29.9270521754386,30.37161150819672,18.373364779661017,12.047648163934426,16.077932135593223,19.104181081967212,32.22691944262295,32.01772568,37.57342706666667,38.22406889655173,43.573765800000004,36.90127592592592,56.585771071428574,38.12517535483871,38.018775866666665,29.494586967741935,37.760117066666666,54.62111283870967,56.468112322580645,60.728616,64.88209225806452,60.225550266666666,65.88202341935484,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,26.287730962962964,32.24582566666667,35.47341490322581,40.7554198,42.436647032258065,39.16150673333333,30.856193142857144,29.55367766666667,18.991356,12.785435933333334,16.57115075862069,19.129067799999998,33.63379786666666,31.444610275862072,37.01518433333333,36.25746048275862,42.72228473333333,35.444466481481484,66.85122614285714,36.195755870967744,32.53646113333333,25.36271335483871,36.2098246,49.27873612903226,49.02897458064516,59.26726253333333,59.9090170967742,56.28559713333333,64.04359838709678,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,26.287730962962964,32.24582566666667,35.47341490322581,40.7554198,42.436647032258065,39.16150673333333,30.856193142857144,29.55367766666667,18.991356,12.785435933333334,16.57115075862069,19.129067799999998,33.63379786666666,31.444610275862072,37.01518433333333,36.25746048275862,42.72228473333333,35.444466481481484,66.85122614285714,36.195755870967744,32.53646113333333,25.36271335483871,36.2098246,49.27873612903226,49.02897458064516,59.26726253333333,59.9090170967742,56.28559713333333,64.04359838709678,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,25.308016296296294,29.989916,33.849187032258065,41.573302399999996,39.23261651612903,31.928927533333336,28.11535157142857,29.034543266666667,18.402413862068965,12.385537266666667,15.97524627586207,18.454337533333334,32.71822,30.471999862068966,35.649852800000005,35.56632393103448,40.11261566666667,33.76962774074074,66.46534864285715,36.07018451612903,31.81786273333333,24.35583535483871,35.40863113333334,48.130971225806455,47.570887806451616,57.49345053333333,58.825136516129035,55.46989166666666,62.14114845161291,,,,,,,,,,,,
ALAMT1G_7_B1,,,,,,,,26.287475333333333,32.245781599999994,35.47352490322581,40.75539493333333,42.43656716129032,39.16150673333333,30.856193142857144,29.55367766666667,18.991356,12.785435933333334,16.57115075862069,19.129067799999998,33.63379786666666,31.444610275862072,37.01518433333333,36.25746048275862,42.72228473333333,35.444466481481484,66.85122614285714,36.195755870967744,32.53646113333333,25.36271335483871,36.2098246,49.27873612903226,49.02897458064516,59.26726253333333,59.9090170967742,56.28559713333333,64.04359838709678,,,,,,,,,,,,
ALAMT1G_7_N002,,,,,,,,26.287475333333333,32.245781599999994,35.47352490322581,40.75539493333333,42.43656716129032,39.16150673333333,30.856193142857144,29.553179999999998,18.991986551724136,12.785435933333334,16.57115075862069,19.129067799999998,33.63379786666666,31.444610275862072,37.01518433333333,36.25746048275862,42.72228473333333,35.444466481481484,66.85122614285714,36.195755870967744,32.53646113333333,25.36271335483871,36.2098246,49.27873612903226,49.02897458064516,59.26726253333333,59.9090170967742,56.28559713333333,64.04359838709678,,,,,,,,,,,,
ALAMT2G_7_B1,,,,,,,,26.287466222222225,32.2454762,35.47336077419355,40.75525233333333,42.43639283870967,39.16150673333333,30.856193142857144,29.553179999999998,18.991986551724136,12.785435933333334,16.57115075862069,19.129067799999998,33.63379786666666,31.444610275862072,37.01518433333333,36.25746048275862,42.72228473333333,35.444466481481484,66.85122614285714,36.195755870967744,32.53646113333333,25.36271335483871,36.2098246,49.27873612903226,49.02897458064516,59.26726253333333,59.9090170967742,56.28559713333333,64.04359838709678,,,46.68948868965517,60.33651862068966,54.87136293333333,53.245708689655174,60.19852873333333,84.28641166666667,81.03895338461538,,,
ALAMT2G_7_N002,,,,,,,,26.287466222222225,32.2454762,35.47336077419355,40.75525233333333,42.43639283870967,39.16150673333333,30.856193142857144,29.55367766666667,18.991356,12.785435933333334,16.57115075862069,19.129067799999998,33.63379786666666,31.444610275862072,37.01518433333333,36.25746048275862,42.72228473333333,35.444466481481484,66.85122614285714,36.195755870967744,32.53646113333333,25.36271335483871,36.2098246,49.27873612903226,49.02897458064516,59.26726253333333,59.9090170967742,56.28559713333333,64.04359838709678,56.90144093333333,46.749645214285714,46.68948868965517,60.33651862068966,54.87136293333333,53.245708689655174,60.19852873333333,84.28641166666667,81.03895338461538,,,
ALAMT3G_7_B1,,,,,,,,26.287314518518517,32.2453,35.47337593548387,40.755401066666664,42.436647032258065,39.16146973333333,30.856245714285713,29.55367766666667,18.991369379310346,12.785416666666666,16.571078275862067,19.129001133333336,33.6334296,31.444508620689653,37.015747266666665,36.24269034482759,42.722220199999995,35.444466481481484,66.85094385714285,36.19577612903226,32.536451199999995,25.362629741935482,36.209725,49.27854012903226,49.02835380645161,59.26717873333334,59.90901748387096,56.32754486666666,64.04350277419356,56.901388000000004,46.74959142857143,46.68942489655173,60.3365475862069,54.871236,53.245547655172416,60.19821426666667,84.2856468,81.03916938461539,,,
