,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,28.09093076719577,29.353494833333333,27.706487304147466,36.52626173396674,35.730627741935486,26.112096690476193,20.906256658163265,20.916785775656322,14.41074027093596,13.463089642857144,18.909114285714285,22.284929357142857,32.82165888095238,32.77801945812808,33.95711876190476,33.586211572481574,33.98285071428572,27.481593679245282,38.55710520408163,25.310893695150114,23.16257504761905,22.146522004608297,39.35580083333333,54.780364055299536,50.828915023041475,55.181780857142854,45.3302718202765,48.29597059382423,52.441520253456225,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,28.886382248677247,30.606733642857144,30.65731935483871,36.76195078384798,36.246697142857144,26.73674619047619,21.759265426065166,23.413133802083333,20.506104802955665,15.7522045,21.432790172413792,22.855281738095236,34.36476769047619,34.08253842364532,34.809789571428574,34.869691154791155,34.567581357142856,28.931132711640213,39.615440739795915,26.602342448036953,30.438598000000002,33.65641034562212,42.97555952380952,56.97616055299539,54.06458815668203,59.60798954761904,62.81097198156682,52.6154116864608,55.15746352534562,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,28.93903507936508,30.65408373809524,30.585832649769586,36.74531954869359,36.066558133640555,27.645884690476194,21.99361943877551,23.466412649164678,20.71815830049261,15.504358952380953,21.357307167487683,22.778569142857144,34.092226333333336,34.08702128078818,34.85535304761905,35.07416796068796,34.65591895238095,29.01986607142857,38.76162137755102,26.390080831408778,30.023655285714284,33.19984419354839,42.872088285714284,56.34025373271889,53.96106861751152,59.4282184047619,64.38488988479263,52.63326071258908,54.85025126728111,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,27.499570582010584,29.331552095238095,29.372415161290323,35.232819904988126,35.25595843317972,26.754713023809526,20.987414540816328,22.041328830548924,18.78365839901478,14.192705523809524,19.801451773399016,21.68148026190476,32.56666664285714,32.30531647783251,32.10968809523809,32.50234837837838,32.56817395238095,27.91357632653061,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,30.068856216931216,31.675265214285716,31.591652834101385,37.77963681710214,37.243966774193545,28.558972071428574,22.6729981377551,23.953175346062054,21.590847709359604,17.024816357142857,23.134529950738916,23.86319730952381,35.5069444047619,35.46852921182266,36.014056238095236,35.782025159705164,35.43966069047619,30.001694880952382,40.46558494897959,27.899659307159354,31.453493880952383,36.01694797235023,43.770705761904765,58.89251917050691,56.1768920046083,62.865456571428574,63.74920921658986,54.731014560570074,57.79066668202765,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,36.59264121428571,29.594217258064514,31.419179095238096,30.041976705069125,41.91644738717339,41.468194470046086,32.23865330210773,23.6968165037594,21.53925645539906,16.889713462469732,14.42126868852459,19.57776225181598,23.725509063231847,52.52448674473067,36.524397905569,37.90644389929742,35.35476009661836,36.27730196721311,30.554791025210083,44.222053647959186,28.97814445727483,24.667653952380952,23.720899608294932,42.24510752380952,58.47068214285714,53.75837165898618,59.850739476190476,47.76843338709678,49.99948251781473,53.80978322580645,43.736326566820274,34.277518163265306,32.77903899328859,45.95402921428571,49.869998317972346,62.79788402380952,67.55915903225807,94.1185899789916,95.05743940886698,,,
AIRPROD_1_N001,,,,,,,33.825869714285716,28.70783767281106,30.685484785714284,30.43624110599078,37.80603885985748,37.01265414746543,27.012616346604215,21.94787679197995,21.830600833333335,14.445593631961259,13.797192915690868,19.589361440677965,23.300249777517564,37.491216416861825,35.352696085714285,36.27341102380952,34.91671744471744,35.47346254761905,28.469746124338624,39.175234872448975,26.246140969976906,29.25700673809524,26.400161313364055,42.836922214285714,63.98320951612904,61.20196695852535,59.43739335714286,49.95674407834102,52.805163206650825,55.94953085253456,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,33.21501256613757,37.64211123809524,33.03926341013825,39.01458418052257,37.7329998156682,30.525865261904762,22.686044642857144,21.45281544152745,16.28417298029557,15.408528619047619,20.226785000000003,24.46758623809524,53.38234404761905,37.425350221674876,37.589831000000004,34.15622975429976,36.12542026190476,28.172152156084657,43.300936581632655,25.568593949191687,24.97923669047619,24.27346495391705,42.54956254761905,58.824865230414744,54.322710506912436,60.73395554761905,48.43172177419355,50.67522372921615,54.62317202764977,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,33.21501256613757,37.64211123809524,33.03926341013825,39.01458418052257,37.7329998156682,30.525865261904762,22.686044642857144,21.45281544152745,16.28417298029557,15.408528619047619,20.226785000000003,24.46758623809524,53.38234404761905,37.425350221674876,37.589831000000004,34.15622975429976,36.12542026190476,28.172152156084657,43.300936581632655,25.568593949191687,24.97923669047619,24.27346495391705,42.54956254761905,58.824865230414744,54.322710506912436,60.73395554761905,48.43172177419355,50.67522372921615,54.62317202764977,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,28.06619925925926,30.626864595238096,28.265219216589863,38.90801444180522,34.58212315668202,25.32824242857143,20.563185739795916,20.909918210023868,14.86804342364532,13.667942357142858,19.042785738916255,23.03712238095238,51.141140190476186,35.37966071428571,35.091243500000004,33.185411081081085,33.13611502380952,27.001472592592595,42.7043781377551,26.307937736720554,24.93013361904762,23.46695193548387,41.891235357142854,57.37486048387097,52.46127110599078,58.159769714285716,46.97041456221198,49.57716339667458,52.89837723502304,,,,,,,,,,,,
