,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,50.031137703703706,52.539449600000005,55.450190387096775,60.5399164,53.19383103225806,41.412169999999996,37.94122121428571,36.122561866666665,29.640742896551725,31.5137364,38.33665648275862,40.951505733333335,114.14794520000001,77.32690986206896,73.16220166666668,54.731044,57.97142706666667,45.652670566037735,127.46050164285714,46.955909935483874,47.968568133333335,47.46340606451613,84.6106882,122.09481232258064,87.82826967741936,96.72452406666667,82.51969561290323,76.84061446666666,81.00516529032258,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,49.74893466666666,52.67457326666667,55.18097103225806,59.11769993333334,52.009359741935484,40.38452977777778,37.98149996491228,37.379156800000004,30.847150344827586,33.746524199999996,40.355983172413794,41.680577533333334,119.01515313333334,77.18515972413793,74.24401766666666,53.6540535862069,56.55901886666666,45.89789588888889,123.40488749999999,48.03090941935484,49.164783066666665,53.74750361290322,87.54295306666667,115.83571696774194,89.34947161290323,97.27959033333333,84.99014296774193,77.31747820000001,81.04487980645162,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,50.03042340740741,52.705690866666664,51.9442950967742,58.79718306666667,51.74851419354839,41.149135333333334,38.29680692857143,36.6541268,31.04255275862069,34.27108846666667,40.15046027586207,40.30701513333334,118.02217726666667,77.0146431724138,73.83054273333333,53.542211724137935,56.48478873333333,45.99522677777778,107.574263,47.92423019354839,47.73370286666667,53.25220077419354,93.311516,117.69292270967743,91.09870980645162,97.3550968,85.60795780645161,77.31541560000001,80.75050141935483,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,47.020113925925926,50.3608798,53.835003870967746,56.693449,49.857354580645165,39.41340193333333,36.51409785714285,35.01641446666667,29.256903931034486,29.133281866666668,37.49478613793104,38.3786208,108.59924480000001,73.26452213793104,54.978058266666665,49.90637006896552,52.03522126666667,44.62546114285714,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,51.80302614814815,54.4543228,56.82483632258065,60.737031599999995,53.66589748387097,42.736008399999996,39.441783,38.12255246666667,31.928823655172415,36.00891373333333,42.77334055172414,43.38050693333333,122.87593079999999,79.64511972413793,76.07879153333334,55.32565751724138,58.09049446666666,47.470909703703704,125.984658,49.82165870967742,50.778002666666666,51.57666458064516,83.14306613333333,116.6678057419355,91.32341470967741,100.75157493333333,88.30002780645161,80.05699573333332,84.98805141935483,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,68.07491399999999,52.358088580645166,59.138427066666665,56.5412255483871,64.98074433333333,54.364303032258064,42.70803708196721,39.08842901754386,35.87745563934426,30.583999661016946,33.44348973770492,39.64825284745763,52.83500091803278,202.2130931147541,91.54765918644068,78.41170583606558,54.691440101694916,58.565506131147544,45.91429611764706,130.74122792857142,46.62245116129033,48.362977199999996,47.83093922580645,89.91777093333333,120.32523716129032,91.57271651612902,103.59453213333333,82.7280915483871,78.94144406666666,81.43154406451613,69.58619148387096,66.83123257142857,66.74556506249999,90.23147226666667,95.75012651612903,108.90427013333334,115.21408309677419,168.1698831764706,244.89823875862066,,,
AIRPROD_1_N001,,,,,,,61.6064578,50.45484780645161,54.2731312,55.59759819354839,60.195092,52.939561677419356,41.928418786885246,38.78472680701754,37.30840704918033,30.146109830508475,32.12184173770492,38.767355932203394,41.48212370491803,119.61496783606557,78.89540672,75.20897666666666,56.02973710344828,59.05445913333333,47.47044551851852,123.20223178571429,48.214403806451614,50.1493868,49.749931548387096,85.80399866666667,119.50131651612904,92.2490104516129,97.52749893333333,86.88896896774193,78.38566966666667,82.511354,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,56.10093051851852,62.503951066666666,59.58527148387097,65.16036413333335,56.48173367741935,51.0918082,41.53452742857143,36.452904266666664,31.037852896551723,34.94809433333333,40.25154689655172,53.1339128,203.47020573333333,92.84281496551723,79.345707,54.523578965517245,57.62013566666667,45.57086848148148,131.54647764285716,46.838392709677414,48.450733066666665,48.02827212903225,90.06612546666668,120.36256232258064,91.93786490322582,104.17649826666667,83.18681212903226,79.67199133333332,81.60148587096775,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,56.10093051851852,62.503951066666666,59.58527148387097,65.16036413333335,56.48173367741935,51.0918082,41.53452742857143,36.452904266666664,31.037852896551723,34.94809433333333,40.25154689655172,53.1339128,203.47020573333333,92.84281496551723,79.345707,54.523578965517245,57.62013566666667,45.57086848148148,131.54647764285716,46.838392709677414,48.450733066666665,48.02827212903225,90.06612546666668,120.36256232258064,91.93786490322582,104.17649826666667,83.18681212903226,79.67199133333332,81.60148587096775,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,49.66663333333333,56.01314633333333,54.54655651612903,64.575675,49.84903703225806,38.35270006666667,35.79159257142857,35.58221713333333,29.237746137931033,31.15834986666667,37.96000268965517,50.248675266666666,194.36701546666666,87.9064244137931,77.41570253333335,55.504196896551726,52.1193436,42.066928555555556,128.43043135714285,45.69121341935484,46.889250133333334,46.04826812903226,87.67409206666667,117.47509948387096,88.9250806451613,99.21063113333334,81.01457851612903,78.2152506,78.92172425806451,,,,,,,,,,,,
