,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,33.79384789583334,35.95264716269841,36.2302356884058,43.52838726190476,41.72246509469697,31.727466950757574,27.565214187499997,26.95834283730159,19.268990456349208,18.107128729166668,24.460014943181818,26.177132878787877,51.653762625,39.81429579545454,45.36863343253968,40.423858562499994,41.495746098484844,33.7522786936937,67.61927408333334,33.798316684782606,31.190235890151516,30.09550134920635,50.720956344696965,69.84773073863636,60.784634318181816,67.29148992424243,58.35661291666666,58.21114535984849,63.90428378623188,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,34.387108291666664,37.186213253968255,38.69319543478261,43.45327041666667,41.722193409090906,31.899381188271605,28.706647395833333,29.238077553418805,23.916841170634918,20.97830575,27.170007708333333,26.741083863636362,54.46766604166667,40.63936191287879,46.376632123015874,41.088056916666666,41.66250746212121,35.043699042792795,67.52754845833333,35.120512318840575,37.05518962121212,40.54270511904762,54.22461509469697,70.29452606060606,63.343071117424245,70.51844496212122,71.55911464285714,61.37928096590909,64.76476786231883,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,34.47042895833333,37.216454484126984,37.695608605072465,43.38114875,41.46014806818182,32.83553066287879,28.845211625,29.298957837301586,24.137084166666668,20.827282645833336,27.243117821969697,26.355461382575758,53.99437125,40.62673087121212,46.42346047619048,41.20730591666666,41.735970208333335,35.145234650900896,62.21739958333333,34.86420086956522,36.49669045454546,40.48712138888889,54.62724340909091,70.48990878787879,63.3708606439394,70.37843543560605,72.96164505952382,61.433522973484855,64.46044672101449,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,32.663386708333334,35.62774511904762,37.36707335144927,41.595272043650795,40.36593975378788,31.606046079545457,27.399700083333336,27.410024027777776,22.244890952380953,18.316317833333336,25.164007973484846,25.137938390151515,50.149635562499995,38.257100530303035,39.75487793650794,38.286183604166666,38.88942041666667,33.644067875,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,35.82387247916667,38.514022619047616,39.910661268115945,44.698618789682534,42.99393715909091,34.06131941287879,29.80152225,30.066366289682538,25.15260386904762,22.912827229166666,29.151863352272727,27.97420465909091,56.30201289583333,42.17945965909091,47.81414628968254,42.277119729166664,42.80041964015152,36.548824583333335,69.04084247916667,36.828192228260875,38.3814234469697,40.38710345238095,53.53513859848485,71.25907280303029,65.45722007575758,73.99534450757575,72.70097662698413,63.86521998106061,67.46694081521738,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,42.828669427083334,35.37987503787879,39.177930515873015,38.57066956521739,49.16104412698412,46.160750018939396,36.83978097222222,30.2313870625,27.455120959302324,21.399080484496125,19.386701798780486,25.504492613636366,29.903186462962964,94.25618196138211,44.03131556818182,50.38408042635659,42.48221172764227,43.32800844444444,36.524725272988505,76.60028802083333,37.15455768115942,32.36197831439394,31.709777837301587,54.490914867424245,72.84546914772727,64.14418392045455,73.19770401515152,60.28160466269841,60.06881128787879,64.7443983152174,53.293511488095234,46.104218124999996,44.664063506944444,63.75539777777778,64.34149929924241,75.10363649621213,78.9755948015873,113.20532623397435,133.7345207936508,,,
AIRPROD_1_N001,,,,,,,39.477574114583334,34.136180662878786,37.413960198412695,38.51757670289855,44.33597132936508,42.32002284090909,32.44747103703704,28.7670586875,27.953143808139536,19.490335339147286,18.328741900406502,25.1598459280303,27.047902361111113,57.31271652439025,41.4586618018018,47.96759688492063,41.9424274375,43.09726106060606,35.18025663288288,67.1144439375,34.84557480072464,36.06428357954545,35.06016837301588,53.89734888257576,75.93461823863638,68.87663242424243,70.76717509469697,63.47187011904762,61.78350871212121,66.26353824275363,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,39.381569166666665,45.30351275793651,41.62889567028985,46.77988611111111,44.428317234848485,38.826431609848484,30.33871847916667,27.680955158730157,20.959565634920637,20.591007583333333,26.06279581439394,30.550934204545456,95.63965383333334,44.51931274621212,50.351078333333334,41.177890312500004,43.23966511363636,34.41959331081081,75.89089081249999,34.38560780797102,32.64049628787879,32.29464099206349,54.78605001893939,73.15367640151516,64.68507823863636,74.0874325378788,60.95307273809524,60.872408768939394,65.39887798913044,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,39.381569166666665,45.30351275793651,41.62889567028985,46.77988611111111,44.428317234848485,38.826431609848484,30.33871847916667,27.680955158730157,20.959565634920637,20.591007583333333,26.06279581439394,30.550934204545456,95.63965383333334,44.51931274621212,50.351078333333334,41.177890312500004,43.23966511363636,34.41959331081081,75.89089081249999,34.38560780797102,32.64049628787879,32.29464099206349,54.78605001893939,73.15367640151516,64.68507823863636,74.0874325378788,60.95307273809524,60.872408768939394,65.39887798913044,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,33.749212,38.02225301587302,36.47688942028985,46.766377500000004,40.01168899621212,30.27927784090909,26.869554375,27.023967738095237,19.516345734126986,18.262975854166665,24.557813295454544,28.820080719696968,91.73933872916668,42.22671410984849,47.641072400793654,40.7480173125,39.405590549242426,32.36255740990991,74.59559808333333,34.54968686594203,32.07383348484848,31.049610396825397,53.59992102272727,71.3762287121212,62.487998731060614,70.82360530303029,59.15785569444445,59.648325075757576,63.18862333333333,,,,,,,,,,,,
