,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,27.054838750000002,30.46902787037037,30.72657828125,38.81587175115207,37.1156424537037,28.349461927083336,22.53266859375,23.09009753488372,15.994426145833332,14.606371541666666,15.520226726190478,23.075705677083334,43.367980333333335,46.6812594047619,35.47866601851852,34.526931013824885,38.1698265625,30.694788411458333,42.95084885416667,27.439959633507854,28.288330104166665,22.694875791666668,39.54757255208333,60.77473824074074,50.34017731481482,55.244487812500005,50.13004183333333,48.3485992746114,50.68061651041666,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,27.55741732142857,30.776724444444444,32.21701875,38.73961437788019,37.46687717592593,28.561066944444445,22.58380850490196,24.90650759162304,20.834037708333334,15.728213833333333,16.44483744047619,23.615480468749997,43.31602983333333,48.05083029761905,36.135593148148146,35.55484396313364,38.072296458333334,31.77090674019608,43.33659625000001,28.719466806282725,33.53503536458333,32.69130770833333,42.154026406250004,60.64020212962963,53.14479277777778,58.611421979166664,63.66972358333333,53.42479590673575,55.99192989583333,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,27.71544779761905,30.88140652777778,32.186540416666666,38.62180746543779,37.38426449074074,29.239872864583333,22.91869963541667,24.75558730232558,20.87491072916667,15.728246083333334,16.320583333333335,23.478106614583336,43.09482820833333,47.79101732142857,35.95589995370371,35.72487115207373,38.158319739583334,31.84702169117647,40.61381572916667,28.71369717277487,32.92554098958333,31.255858916666668,45.23250817708333,60.04562162037037,54.156288749999995,58.61499494791667,64.96537554166667,53.585929015544046,55.98152130208334,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,26.207314404761902,29.48882388888889,31.041167604166663,37.27638824884792,36.31513472222222,28.34087703125,21.972462239583333,23.648503674418603,19.2822234375,14.669611208333333,15.398104166666666,22.128308958333335,41.79484725,46.77854863095238,31.639746805555554,33.10874935483871,35.66308166666666,30.7528003125,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,28.49105220238095,31.655822685185186,33.044092291666665,39.747321105990785,38.465997870370366,30.10213328125,23.448852187499998,25.199443441860463,21.869699479166666,16.678689333333335,17.66763351190476,24.367089739583335,44.549099166666664,49.85861321428572,37.36695898148148,36.48732456221198,38.958628749999995,32.60210605392157,44.171265625,29.52158492146597,34.339956145833334,37.19146633333333,43.49696223958333,63.74746430555555,54.90088990740741,60.493602447916665,66.75212670833334,55.11892124352332,59.31811833333333,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,36.939809375,29.113967407407408,32.331170416666666,31.85495697916667,42.47839599078341,41.605419768518516,32.2327221875,24.21465620098039,23.00460674418605,17.394620833333335,15.336048791666666,15.917179027777777,25.679599739583335,49.877367375,55.475818361111116,37.211781574074074,34.47310129032258,40.48951270833333,32.3784236574074,43.382569375,28.183573036649218,28.114595572916667,23.393381375,40.82776494791667,60.876828796296294,51.77643912037037,56.47041838541667,51.744427249999994,49.31071772020726,52.47204791666667,48.378613208333334,37.17859166666667,36.76615958115183,44.28221986111111,48.92381398148149,57.25626177083333,69.62723929166667,88.96691083333333,94.54889192708333,,,
AIRPROD_1_N001,,,,,,,34.90696604166667,28.712432361111112,31.75585814814815,32.181755833333334,39.944120184331794,38.574880972222225,29.518079010416667,23.23746654411765,24.173100372093025,15.966873125,15.039614875000002,16.087153416666666,23.8684940625,45.694919541666664,50.19191884615385,36.92835351851852,35.693735944700464,39.25903213541667,32.018198455882356,43.292080104166665,28.861028900523557,33.704299479166664,25.292689666666668,42.02252333333333,67.88986597222222,61.32382300925926,59.04715625,55.066328666666664,53.89100569948186,55.7583165625,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,28.42018363095238,33.28325370370371,31.739511979166668,40.25550658986175,38.19592328703703,30.513045625,23.255445364583334,22.969839813953488,17.197856458333334,15.616366333333334,16.013152857142856,25.963229427083334,50.32979666666667,57.79864119047619,36.41166314814815,33.6380132718894,38.50779369791667,30.90119757352941,43.34384416666666,25.971930366492145,28.151960937499997,23.4741145,41.06861651041667,61.10764643518519,52.18608875,56.80552640625,51.9953005,49.67500326424871,53.027417031249996,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,28.42018363095238,33.28325370370371,31.739511979166668,40.25550658986175,38.19592328703703,30.513045625,23.255445364583334,22.969839813953488,17.197856458333334,15.616366333333334,16.013152857142856,25.963229427083334,50.32979666666667,57.79864119047619,36.41166314814815,33.6380132718894,38.50779369791667,30.90119757352941,43.34384416666666,25.971930366492145,28.151960937499997,23.4741145,41.06861651041667,61.10764643518519,52.18608875,56.80552640625,51.9953005,49.67500326424871,53.027417031249996,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,26.970114642857144,30.557995185185185,30.38126265625,40.24131995391705,35.602435,27.0450378125,21.408098385416665,22.482279302325583,16.187555104166666,14.607876874999999,15.389623154761905,24.812711979166664,47.94659004166667,54.960170952380956,35.588217962962965,32.961472442396314,36.17609578125,29.781942401960784,42.81061640625,26.14097680628272,27.82155713541667,22.701206416666665,40.39567203125,59.64343356481481,50.608349259259256,54.88464546875,51.019818666666666,48.86239113989637,51.78396307291666,,,,,,,,,,,,
