NODE_ID,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,32.04669738,34.30756138,34.809937,42.11005735,40.38500046,30.82666561,26.12734402,25.80163527,18.36566237,16.94020967,22.30213503,25.35008563,48.89183519,41.47183874,42.40164321,38.58794281,40.60883422,32.82926276,60.57115259,32.1637996,30.41639435,27.70820278,47.74138733,67.21363614,57.75237261,64.07895603,55.70288031,55.57110182,60.49172449,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,32.61644767,35.26336661,37.02192403,42.03459724,40.48677902,31.06480263,26.88053755,27.98264529,23.06641263,19.22827511,24.58117351,25.90758963,50.75045397,42.42833704,43.30432043,39.36537799,40.70511786,34.01337554,60.61584783,33.47502148,36.11648182,38.00999628,51.00579144,67.49165782,60.38228063,67.34323883,69.01414978,59.2499944,62.50080968,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,32.71913755,35.3159401,36.27391359,41.94872564,40.27682703,31.87668858,27.15192249,27.94036999,23.23717425,19.12760379,24.60664398,25.58816678,50.36119024,42.35604139,43.28319232,39.50043598,40.78193008,34.10690835,56.04494705,33.2831158,35.54438393,37.50929478,52.12198068,67.45769638,60.69566235,67.24151797,70.38220328,59.33284942,62.27233694,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,30.98959019,33.78606875,35.73458155,40.29541381,39.18989958,30.73533433,25.8490607,26.28523004,21.42760336,17.10074896,22.80672085,24.33537054,47.36470613,40.3140018,37.3203386,36.67427079,38.02906342,32.81799143,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,33.92277093,36.45656264,38.13864347,43.2084224,41.67937414,33.00553644,27.98647366,28.61102775,24.24697507,20.83478126,26.37980787,27.01230735,52.38437499,44.03304845,44.6799901,40.47455796,41.77594207,35.30633912,61.93524909,34.94991229,37.30369883,39.35625277,50.85829157,69.07828324,62.39247906,70.39487996,70.78199278,61.52397774,65.36401888,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,41.65089742,33.56074056,37.12390249,36.83758245,47.14976168,44.83823478,35.63137211,28.43692347,26.14614619,20.31312532,18.05861885,23.06704001,28.79536044,79.70575095,46.94093492,46.49717257,40.0309043,42.58348497,35.20766476,67.10951126,34.848423,31.22934292,29.0270693,50.84740822,69.37070259,60.55354833,68.73709451,57.52767647,57.18904422,61.57734015,51.70806043,43.55403914,42.69731038,57.9134444,59.86539711,70.34433657,75.95999625,107.5021697,122.9246921,,,
AIRPROD_1_N001,,,,,,,38.5634525,32.56154406,35.71652958,36.88252616,43.01415205,41.23272359,31.67910592,27.11788208,26.84136633,18.53482016,17.2503396,22.85322919,26.2139592,53.50360276,43.72930863,44.65582387,39.99699551,42.07373335,34.18479387,60.30805427,33.30715183,35.43495449,31.90936879,50.73072874,73.599045,66.6838813,67.64183674,60.76040513,59.67081373,63.55251329,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,36.53972847,41.69743504,39.07679665,44.81623791,42.61891254,36.60952868,28.31492616,26.27220718,19.92185276,18.93279383,23.63701993,29.32754626,80.53636811,47.72466789,46.16925378,38.83046805,41.97783274,33.31195021,66.59173463,32.22273783,31.44355353,29.44930987,51.12806775,69.6564419,61.05633935,69.47892424,58.06346879,57.87504502,62.2062429,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,36.53972847,41.69743504,39.07679665,44.81623791,42.61891254,36.60952868,28.31492616,26.27220718,19.92185276,18.93279383,23.63701993,29.32754626,80.53636811,47.72466789,46.16925378,38.83046805,41.97783274,33.31195021,66.59173463,32.22273783,31.44355353,29.44930987,51.12806775,69.6564419,61.05633935,69.47892424,58.06346879,57.87504502,62.2062429,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,31.99166824,35.78297567,34.90382445,44.80252523,38.731583,29.41681383,25.30913838,25.66588288,18.59805866,17.04460953,22.34480188,27.75144906,77.14175583,45.30030714,44.02521607,38.3237989,38.54439194,31.55014157,65.51417475,32.38809384,30.93989313,28.35657685,50.07878796,67.96993335,59.03906824,66.57321601,56.53268246,56.76110559,60.2454852,,,,,,,,,,,,
