,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,28.80256,31.708280000000002,32.439465,39.00568,38.561234999999996,30.45219,26.018415,25.60317,21.857570000000003,18.67026,21.863754999999998,23.067525,33.397375,31.677889999999998,35.943615,36.14198,37.96333,31.57243,39.120599999999996,32.57822,33.791664999999995,31.106265,41.571605,54.346985000000004,51.4323,58.368539999999996,56.987795,55.42181,60.007215,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,29.151184999999998,32.040515,33.41776,38.68667,38.457555,30.661065,26.31,26.7887,23.11975,19.404495,23.539775,23.27689,32.243955,32.785489999999996,35.96892,36.07635,37.494585,32.313975,39.698195,33.4063,35.544905,36.559635,43.615809999999996,56.257255,53.195745,60.5261,67.31511499999999,56.53973,60.725449999999995,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,29.24548,32.22929,33.336510000000004,38.68144,38.24768,31.216485,26.575805000000003,26.63546,23.348405,19.384990000000002,23.687995,23.312829999999998,31.981344999999997,32.735325,36.148275,36.2921,37.700795,32.45037000000001,39.988045,33.27575,35.245360000000005,36.16748,43.75085,55.795445,53.38914,60.53481,68.086455,56.77694,60.24659,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,27.84769,30.97038,32.454795000000004,37.38621,37.415544999999995,30.339105,25.357625,25.54087,21.804215,18.38237,22.01342,22.121015,30.23405,30.834049999999998,33.782335,33.93779,35.183165,31.25256,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,30.258555,32.941959999999995,34.29187,39.76671,39.573115,32.204710000000006,27.162015,27.39435,23.909285,20.516624999999998,24.624699999999997,24.044674999999998,33.18318,34.097105,36.976704999999995,37.21472,38.394459999999995,33.38785,40.738725,34.66728,36.568214999999995,38.263315,45.05479,57.88486,55.367085,62.64132,67.524745,58.11893,63.268735,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,34.828914999999995,29.38515,33.12468,34.246129999999994,43.08566,43.5597,34.9488,27.55231,25.884999999999998,22.900205,19.34727,22.3136,23.590719999999997,36.02548,33.329035,39.048015,38.35177,39.969025,33.68863,39.863065000000006,35.8842,33.609515,31.479545,42.87738,56.550995,53.195859999999996,60.13308,57.68432,55.5249,60.42345,50.32889,45.860699999999994,45.59408,62.00656,66.98162500000001,68.591645,70.722365,91.448695,84.812435,,,
AIRPROD_1_N001,,,,,,,33.594750000000005,29.141785,33.281515,34.264025000000004,39.82432,39.344480000000004,31.75768,27.13042,26.75508,22.8009,19.6449,23.11388,24.047455,37.677585,33.98466,37.955605000000006,37.96686,39.483225000000004,33.38262,41.094325,34.18966,36.01281,34.803015,45.78887,63.86534,60.197395,63.820915,62.81667,58.38374,62.174414999999996,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,30.869970000000002,35.670655,35.443495,40.39202,39.484970000000004,32.49526,27.154780000000002,25.99116,22.803335,19.746705,22.820975,24.155369999999998,36.555414999999996,33.74769499999999,38.31412,36.94705,39.63954,31.87121,39.007425,32.75391,33.772800000000004,31.785085000000002,43.227180000000004,57.01412,53.894085000000004,60.72154,58.209325,56.0902,61.083079999999995,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,30.869970000000002,35.670655,35.443495,40.39202,39.484970000000004,32.49526,27.154780000000002,25.99116,22.803335,19.746705,22.820975,24.155369999999998,36.555414999999996,33.74769499999999,38.31412,36.94705,39.63954,31.87121,39.007425,32.75391,33.772800000000004,31.785085000000002,43.227180000000004,57.01412,53.894085000000004,60.72154,58.209325,56.0902,61.083079999999995,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,28.43614,31.93694,32.179485,40.82173,37.12877,29.222395,25.411385,25.53646,21.715775,18.65906,21.764429999999997,22.953695,34.829235,31.938515000000002,36.45335,36.19854,36.40826,30.54984,37.053785000000005,32.71833,33.039145000000005,30.79711,42.313824999999994,55.34529,51.776709999999994,58.36529,56.93344,54.67467,59.161590000000004,,,,,,,,,,,,
ALAMT1G_7_B1,,,,,,,,30.869970000000002,35.668904999999995,35.443495,40.39202,39.484970000000004,32.49526,27.154780000000002,25.99116,22.803335,19.746705,22.820975,24.155369999999998,36.555414999999996,33.74769499999999,38.31412,36.94705,39.63954,31.87121,39.007425,32.75391,33.772800000000004,31.785085000000002,43.227180000000004,57.01412,53.894085000000004,60.72154,58.209325,56.0902,61.083079999999995,,,,,,,,,,,,
