,Unnamed: 0,OID_,AREA,NODE_ID,TYPE,Mar_2022_Mean,Apr_2022_Mean,May_2022_Mean,Jun_2022_Mean,Jul_2022_Mean,Aug_2022_Mean,Sep_2022_Mean,Mar_2022_Median,Apr_2022_Median,May_2022_Median,Jun_2022_Median,Jul_2022_Median,Aug_2022_Median,Sep_2022_Median,Mar_2022_sd,Apr_2022_sd,May_2022_sd,Jun_2022_sd,Jul_2022_sd,Aug_2022_sd,Sep_2022_sd,Jan_2022_Mean,Feb_2022_Mean,Jan_2022_Median,Feb_2022_Median,Jan_2022_sd,Feb_2022_sd,Jan_2021_Mean,Feb_2021_Mean,Mar_2021_Mean,Apr_2021_Mean,May_2021_Mean,Jun_2021_Mean,Jul_2020_Mean,Jul_2021_Mean,Aug_2020_Mean,Aug_2021_Mean,Sep_2020_Mean,Sep_2021_Mean,Oct_2020_Mean,Oct_2021_Mean,Nov_2020_Mean,Nov_2021_Mean,Dec_2020_Mean,Dec_2021_Mean,Jan_2021_Median,Feb_2021_Median,Mar_2021_Median,Apr_2021_Median,May_2021_Median,Jun_2021_Median,Jul_2020_Median,Jul_2021_Median,Aug_2020_Median,Aug_2021_Median,Sep_2020_Median,Sep_2021_Median,Oct_2020_Median,Oct_2021_Median,Nov_2020_Median,Nov_2021_Median,Dec_2020_Median,Dec_2021_Median,Jan_2021_sd,Feb_2021_sd,Mar_2021_sd,Apr_2021_sd,May_2021_sd,Jun_2021_sd,Jul_2020_sd,Jul_2021_sd,Aug_2020_sd,Aug_2021_sd,Sep_2020_sd,Sep_2021_sd,Oct_2020_sd,Oct_2021_sd,Nov_2020_sd,Nov_2021_sd,Dec_2020_sd,Dec_2021_sd,Jan_2020_Mean,Jul_2019_Mean,Aug_2019_Mean,Sep_2019_Mean,Oct_2019_Mean,Nov_2019_Mean,Dec_2019_Mean,Jan_2020_Median,Jul_2019_Median,Aug_2019_Median,Sep_2019_Median,Oct_2019_Median,Nov_2019_Median,Dec_2019_Median,Jan_2020_sd,Jul_2019_sd,Aug_2019_sd,Sep_2019_sd,Oct_2019_sd,Nov_2019_sd,Dec_2019_sd,Feb_2020_Mean,Mar_2020_Mean,Apr_2020_Mean,May_2020_Mean,Jun_2020_Mean,Feb_2020_Median,Mar_2020_Median,Apr_2020_Median,May_2020_Median,Jun_2020_Median,Feb_2020_sd,Mar_2020_sd,Apr_2020_sd,May_2020_sd,Jun_2020_sd
0,0,0,CA,2C559EQ2_7_N001,GEN,,,,,,,119.90054290229885,,,,,,,83.12257,,,,,,,153.76401933233754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,CA,ADCC_2_N001,GEN,,,,,,,118.54969974137931,,,,,,,83.69554500000001,,,,,,,140.97605420489944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,CA,AEC300_1_N001,LOAD,,,,,,,121.23835570402298,,,,,,,87.36669499999999,,,,,,,139.82429321896163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,PACW,AGER_LNODE35,LOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,CA,AGNEW_1_N003,LOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,CA,AGUAMNSA_7_B1,GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,CA,AIRPROD_1_N001,LOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,CA,ALAMITOS_2_N001,LOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,CA,ALAMITOS_2_N040,LOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,CA,ALAMOSC_7_N001,GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
